code,sector_code,source_code,sector_desc,source_desc,salinity,units,notes
TP-TotPop,TP,TotPop,Total,Population of county,,thousand,
PS-GWPop,PS,GWPop,Public supply,Population served by groundwater,,thousand,
PS-SWPop,PS,SWPop,Public supply,Population served by surface water,,thousand,
PS-TOPop,PS,TOPop,Public supply,Total population served,,thousand,
PS-WGWFr,PS,WGWFr,Public supply,Groundwater withdrawals,Fresh,million gallons/day,
PS-WGWSa,PS,WGWSa,Public supply,Groundwater withdrawals,Saline,million gallons/day,
PS-WGWTo,PS,WGWTo,Public supply,Groundwater withdrawals,Total,million gallons/day,
PS-WSWFr,PS,WSWFr,Public supply,Surface-water withdrawals,Fresh,million gallons/day,
PS-WSWSa,PS,WSWSa,Public supply,Surface-water withdrawals,Saline,million gallons/day,
PS-WSWTo,PS,WSWTo,Public supply,Surface-water withdrawals,Total,million gallons/day,
PS-WFrTo,PS,WFrTo,Public supply,Total withdrawals,Fresh,million gallons/day,
PS-WSaTo,PS,WSaTo,Public supply,Total withdrawals,Saline,million gallons/day,
PS-Wtotl,PS,Wtotl,Public supply,Total withdrawals,Total (fresh+saline),million gallons/day,
DO-SSPop,DO,SSPop,Domestic,Self-supplied population,,thousand,
DO-WGWFr,DO,WGWFr,Domestic,Self-supplied groundwater withdrawals,Fresh,million gallons/day,
DO-WSWFr,DO,WSWFr,Domestic,Self-supplied surface-water withdrawals,Fresh,million gallons/day,
DO-WFrTo,DO,WFrTo,Domestic,Total self-supplied withdrawals,Fresh,million gallons/day,
DO-SSPCp,DO,SSPCp,Domestic,Self-supplied per capita use,,gallons/day,[DO-WFrTo/DO-SSPop*1000]
DO-PSDel,DO,PSDel,Domestic,Deliveries from public supply,,million gallons/day,
DO-PSPCp,DO,PSPCp,Domestic,Publicly supplied per capita use,,gallons/day,[DO-PSDel/PS-TOPop]
DO-WDelv,DO,WDelv,Domestic,Total use (withdrawals + deliveries),,million gallons/day,
IN-WGWFr,IN,WGWFr,Industrial,Self-supplied groundwater withdrawals,Fresh,million gallons/day,
IN-WGWSa,IN,WGWSa,Industrial,Self-supplied groundwater withdrawals,Saline,million gallons/day,
IN-WGWTo,IN,WGWTo,Industrial,Self-supplied groundwater withdrawals,Total,million gallons/day,
IN-WSWFr,IN,WSWFr,Industrial,Self-supplied surface-water withdrawals,Fresh,million gallons/day,
IN-WSWSa,IN,WSWSa,Industrial,Self-supplied surface-water withdrawals,Saline,million gallons/day,
IN-WSWTo,IN,WSWTo,Industrial,Self-supplied surface-water withdrawals,Total,million gallons/day,
IN-WFrTo,IN,WFrTo,Industrial,Self-supplied total withdrawals,Fresh,million gallons/day,
IN-WSaTo,IN,WSaTo,Industrial,Self-supplied total withdrawals,Saline,million gallons/day,
IN-Wtotl,IN,Wtotl,Industrial,Self-supplied total withdrawals,Total (fresh+saline),million gallons/day,
IR-WGWFr,IR,WGWFr,Irrigation,Groundwater withdrawals,Fresh,million gallons/day,
IR-WSWFr,IR,WSWFr,Irrigation,Surface-water withdrawals,Fresh,million gallons/day,
IR-WFrTo,IR,WFrTo,Irrigation,Total withdrawals,Fresh,million gallons/day,
IR-RecWW,IR,RecWW,Irrigation,Reclaimed wastewater,,million gallons/day,
IR-CUsFr,IR,CUsFr,Irrigation,Total consumptive use,Fresh,million gallons/day,
IR-IrSpr,IR,IrSpr,Irrigation,Acres irrigated,Sprinkler,thousand acres,
IR-IrMic,IR,IrMic,Irrigation,Acres irrigated,Microirrigation,thousand acres,
IR-IrSur,IR,IrSur,Irrigation,Acres irrigated,Surface (flood),thousand acres,
IR-IrTot,IR,IrTot,Irrigation,Acres irrigated,Total,thousand acres,
IC-WGWFr,IC,WGWFr,Irrigation-crop,Groundwater withdrawals,Fresh,million gallons/day,
IC-WSWFr,IC,WSWFr,Irrigation-crop,Surface-water withdrawals,Fresh,million gallons/day,
IC-WFrTo,IC,WFrTo,Irrigation-crop,Total withdrawals,Fresh,million gallons/day,
IC-RecWW,IC,RecWW,Irrigation-crop,Reclaimed wastewater,,million gallons/day,
IC-CUsFr,IC,CUsFr,Irrigation-crop,Total consumptive use,Fresh,million gallons/day,
IC-IrSpr,IC,IrSpr,Irrigation-crop,Acres irrigated,Sprinkler,thousand acres,
IC-IrMic,IC,IrMic,Irrigation-crop,Acres irrigated,Microirrigation,thousand acres,
IC-IrSur,IC,IrSur,Irrigation-crop,Acres irrigated,Surface (flood),thousand acres,
IC-IrTot,IC,IrTot,Irrigation-crop,Acres irrigated,Total,thousand acres,
IG-WGWFr,IG,WGWFr,Irrigation-golf,Groundwater withdrawals,Fresh,million gallons/day,
IG-WSWFr,IG,WSWFr,Irrigation-golf,Surface-water withdrawals,Fresh,million gallons/day,
IG-WFrTo,IG,WFrTo,Irrigation-golf,Total withdrawals,Fresh,million gallons/day,
IG-RecWW,IG,RecWW,Irrigation-golf,Reclaimed wastewater,,million gallons/day,
IG-CUsFr,IG,CUsFr,Irrigation-golf,Total consumptive use,Fresh,million gallons/day,
IG-IrSpr,IG,IrSpr,Irrigation-golf,Acres irrigated,Sprinkler,thousand acres,
IG-IrMic,IG,IrMic,Irrigation-golf,Acres irrigated,Microirrigation,thousand acres,
IG-IrSur,IG,IrSur,Irrigation-golf,Acres irrigated,Surface (flood),thousand acres,
IG-IrTot,IG,IrTot,Irrigation-golf,Acres irrigated,Total,thousand acres,
LI-WGWFr,LI,WGWFr,Livestock,Groundwater withdrawals,Fresh,million gallons/day,
LI-WSWFr,LI,WSWFr,Livestock,Surface-water withdrawals,Fresh,million gallons/day,
LI-WFrTo,LI,WFrTo,Livestock,Total withdrawals,Fresh,million gallons/day,
AQ-WGWFr,AQ,WGWFr,Aquaculture,Groundwater withdrawals,Fresh,million gallons/day,
AQ-WGWSa,AQ,WGWSa,Aquaculture,Groundwater withdrawals,Saline,million gallons/day,
AQ-WGWTo,AQ,WGWTo,Aquaculture,Groundwater withdrawals,Total,million gallons/day,
AQ-WSWFr,AQ,WSWFr,Aquaculture,Surface-water withdrawals,Fresh,million gallons/day,
AQ-WSWSa,AQ,WSWSa,Aquaculture,Surface-water withdrawals,Saline,million gallons/day,
AQ-WSWTo,AQ,WSWTo,Aquaculture,Surface-water withdrawals,Total,million gallons/day,
AQ-WFrTo,AQ,WFrTo,Aquaculture,Total withdrawals,Fresh,million gallons/day,
AQ-WSaTo,AQ,WSaTo,Aquaculture,Total withdrawals,Saline,million gallons/day,
AQ-WTotl,AQ,WTotl,Aquaculture,Total withdrawals,Total (fresh+saline),million gallons/day,
MI-WGWFr,MI,WGWFr,Mining,Groundwater withdrawals,Fresh,million gallons/day,
MI-WGWSa,MI,WGWSa,Mining,Groundwater withdrawals,Saline,million gallons/day,
MI-WGWTo,MI,WGWTo,Mining,Groundwater withdrawals,Total,million gallons/day,
MI-WSWFr,MI,WSWFr,Mining,Surface-water withdrawals,Fresh,million gallons/day,
MI-WSWSa,MI,WSWSa,Mining,Surface-water withdrawals,Saline,million gallons/day,
MI-WSWTo,MI,WSWTo,Mining,Surface-water withdrawals,Total,million gallons/day,
MI-WFrTo,MI,WFrTo,Mining,Total withdrawals,Fresh,million gallons/day,
MI-WSaTo,MI,WSaTo,Mining,Total withdrawals,Saline,million gallons/day,
MI-Wtotl,MI,Wtotl,Mining,Total withdrawals,Total (fresh+saline),million gallons/day,
PT-WGWFr,PT,WGWFr,Thermoelectric,Groundwater withdrawals,Fresh,million gallons/day,
PT-WGWSa,PT,WGWSa,Thermoelectric,Groundwater withdrawals,Saline,million gallons/day,
PT-WGWTo,PT,WGWTo,Thermoelectric,Groundwater withdrawals,Total,million gallons/day,
PT-WSWFr,PT,WSWFr,Thermoelectric,Surface-water withdrawals,Fresh,million gallons/day,
