from,to
AK,ak
Alaska,ak
ALASKA,ak
alaska,ak
2,ak
AL,al
Ala.,al
Alabama,al
ALABAMA,al
alabama,al
1,al
AR,ar
Ark.,ar
Arkansas,ar
ARKANSAS,ar
arkansas,ar
5,ar
Ariz.,az
Arizona,az
ARIZONA,az
arizona,az
AZ,az
4,az
CA,ca
Calif.,ca
California,ca
CALIFORNIA,ca
california,ca
6,ca
CO,co
Colo.,co
Colorado,co
COLORADO,co
colorado,co
8,co
Conn.,ct
Connecticut,ct
CONNECTICUT,ct
connecticut,ct
CT,ct
9,ct
D.C.,dc
DC,dc
District of Columbia,dc
DISTRICT OF COLUMBIA,dc
district of columbia,dc
Dist of Columbia,dc
11,dc
DE,de
Del.,de
Delaware,de
DELAWARE,de
delaware,de
10,de
FL,fl
Fla.,fl
Florida,fl
FLORIDA,fl
florida,fl
12,fl
GA,ga
Ga.,ga
Georgia,ga
GEORGIA,ga
georgia,ga
13,ga
Hawaii,hi
HAWAII,hi
hawaii,hi
HI,hi
15,hi
IA,ia
Iowa,ia
IOWA,ia
iowa,ia
19,ia
ID,id
Idaho,id
IDAHO,id
idaho,id
16,id
IL,il
Ill.,il
Illinois,il
ILLINOIS,il
illinois,il
17,il
IN,in
Ind.,in
Indiana,in
INDIANA,in
indiana,in
18,in
Kans.,ks
Kansas,ks
KANSAS,ks
kansas,ks
KS,ks
20,ks
Kentucky,ky
KENTUCKY,ky
kentucky,ky
KY,ky
Ky.,ky
21,ky
LA,la
La.,la
Louisiana,la
LOUISIANA,la
louisiana,la
22,la
MA,ma
Mass.,ma
Massachusetts,ma
MASSACHUSETTS,ma
massachusetts,ma
25,ma
Maryland,md
MARYLAND,md
maryland,md
MD,md
Md.,md
24,md
Maine,me
MAINE,me
maine,me
ME,me
23,me
MI,mi
Mich.,mi
Michigan,mi
MICHIGAN,mi
michigan,mi
26,mi
Minn.,mn
Minnesota,mn
MINNESOTA,mn
minnesota,mn
MN,mn
27,mn
Missouri,mo
MISSOURI,mo
missouri,mo
MO,mo
Mo.,mo
29,mo
Miss.,ms
Mississippi,ms
MISSISSIPPI,ms
mississippi,ms
MS,ms
28,ms
Mont.,mt
Montana,mt
MONTANA,mt
montana,mt
MT,mt
30,mt
N.C.,nc
NC,nc
North Carolina,nc
NORTH CAROLINA,nc
north carolina,nc
37,nc
N.D.,nd
ND,nd
North Dakota,nd
NORTH DAKOTA,nd
north dakota,nd
38,nd
NE,ne
Nebr.,ne
Nebraska,ne
NEBRASKA,ne
nebraska,ne
31,ne
N.H.,nh
New Hampshire,nh
NEW HAMPSHIRE,nh
new hampshire,nh
NH,nh
33,nh
N.J.,nj
New Jersey,nj
NEW JERSEY,nj
new jersey,nj
NJ,nj
34,nj
N.M.,nm
New Mexico,nm
NEW MEXICO,nm
new mexico,nm
NM,nm
35,nm
Nev.,nv
Nevada,nv
NEVADA,nv
nevada,nv
NV,nv
32,nv
N.Y.,ny
New York,ny
NEW YORK,ny
new york,ny
NY,ny
36,ny
OH,oh
Ohio,oh
OHIO,oh
ohio,oh
39,oh
OK,ok
Okla.,ok
Oklahoma,ok
OKLAHOMA,ok
oklahoma,ok
40,ok
OR,or
Ore.,or
Oregon,or
OREGON,or
oregon,or
41,or
PA,pa
Pa.,pa
Pennsylvania,pa
PENNSYLVANIA,pa
pennsylvania,pa
42,pa
R.I.,ri
Rhode Island,ri
RHODE ISLAND,ri
rhode island,ri
RI,ri
44,ri
S.C.,sc
SC,sc
South Carolina,sc
SOUTH CAROLINA,sc
south carolina,sc
45,sc
S.D.,sd
SD,sd
South Dakota,sd
SOUTH DAKOTA,sd
south dakota,sd
46,sd
Tenn.,tn
Tennessee,tn
TENNESSEE,tn
tennessee,tn
TN,tn
47,tn
Tex.,tx
Texas,tx
TEXAS,tx
texas,tx
TX,tx
48,tx
U.S.,us
United States,us
UNITED STATES,us
united states,us
US,us
0,us
UT,ut
Utah,ut
UTAH,ut
utah,ut
49,ut
VA,va
Va.,va
Virginia,va
VIRGINIA,va
virginia,va
51,va
Vermont,vt
VERMONT,vt
vermont,vt
VT,vt
Vt.,vt
50,vt
WA,wa
Wash.,wa
Washington,wa
WASHINGTON,wa
washington,wa
53,wa
WI,wi
Wis.,wi
Wisconsin,wi
WISCONSIN,wi
wisconsin,wi
55,wi
W.Va.,wv
West Virginia,wv
WEST VIRGINIA,wv
west virginia,wv
WV,wv
54,wv
WY,wy
Wyo.,wy
Wyoming,wy
WYOMING,wy
wyoming,wy
56,wy
New England,new england
Great Lakes,great lakes
Plains,plains
Southeast,southeast
Mideast,mideast
Southwest,southwest
Rocky Mountain,rocky mountain
Far West,far west
Unknown,unknown
VI,vi
US Virgin Islands,vi
Virgin Islands,vi
virgin islands,vi
Virgin islands,vi
VIRGIN ISLANDS,vi
PR,pr
Puerto Rico,pr
puerto rico,pr
Puerto rico,pr
PUERTO RICO,pr
World Total,world total
world total,world total
Canada,canada
CANADA,canada
canada,canada
X3,"federal offshore, gulf of mexico"
X5,"federal offshore, pacific"
C,canada
M,mexico
O,other
