msn_code,msn_desc,source_code,source_desc,sector_code,sector_desc,units
PATXB,all petroleum products total end-use consumption,PA,all petroleum products,TX,all end-use sectors,billion btu
ARTXB,asphalt and road oil total end-use consumption,AR,asphalt and road oil,TX,all end-use sectors,billion btu
P1TXB,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TX,all end-use sectors,billion btu
AVTXB,aviation gasoline total end-use consumption,AV,aviation gasoline,TX,all end-use sectors,billion btu
CLTXB,coal total end-use consumption,CL,coal,TX,all end-use sectors,billion btu
DFTXB,distillate fuel oil total end-use consumption,DF,distillate fuel oil,TX,all end-use sectors,billion btu
LOTXB,total electrical system energy losses allocated to the end-use sectors,LO,electrical system energy losses,TX,all end-use sectors,billion btu
ESTXB,"electricity total end-use consumption (i.e., retail sales)",ES,electricity,TX,all end-use sectors,billion btu
GETXB,geothermal energy total end-use consumption,GE,geothermal energy,TX,all end-use sectors,billion btu
HLTXB,hydrocarbon gas liquids total end-use consumption,HL,hydrocarbon gas liquids,TX,all end-use sectors,billion btu
HYTXB,hydropower total end-use consumption,HY,hydropower,TX,all end-use sectors,billion btu
JFTXB,jet fuel total end-use consumption,JF,jet fuel,TX,all end-use sectors,billion btu
KSTXB,kerosene total end-use consumption,KS,kerosene,TX,all end-use sectors,billion btu
LUTXB,lubricants total end-use consumption,LU,lubricants,TX,all end-use sectors,billion btu
MGTXB,motor gasoline total end-use consumption,MG,motor gasoline consumed,TX,all end-use sectors,billion btu
NGTXB,natural gas total end-use consumption,NG,natural gas,TX,all end-use sectors,billion btu
OPTXB,other petroleum products total end-use consumption,OP,other petroleum products,TX,all end-use sectors,billion btu
PCTXB,petroleum coke total end-use consumption,PC,petroleum coke,TX,all end-use sectors,billion btu
PQTXB,propane total end-use consumption,PQ,propane,TX,all end-use sectors,billion btu
RFTXB,residual fuel oil total end-use consumption,RF,residual fuel oil,TX,all end-use sectors,billion btu
SOTXB,solar energy total end-use consumption,SO,solar energy,TX,all end-use sectors,billion btu
TETXB,total end-use energy consumption,TE,total energy,TX,all end-use sectors,billion btu
TNTXB,total primary energy and electricity consumed by the end-use sectors,TN,total energy excluding the sector's share of electrical system energy losses,TX,all end-use sectors,billion btu
WYTXB,wind energy total end-use consumption,WY,wind energy,TX,all end-use sectors,billion btu
WWTXB,wood and waste total end-use consumption,WW,wood and waste,TX,all end-use sectors,billion btu
CLKCB,coal consumed at coke plants (coking coal),CL,coal,KC,coke plants (coking coal),billion btu
PACCB,all petroleum products consumed by the commercial sector,PA,all petroleum products,CC,commercial sector,billion btu
CLCCB,coal consumed by the commercial sector,CL,coal,CC,commercial sector,billion btu
DFCCB,distillate fuel oil consumed by the commercial sector,DF,distillate fuel oil,CC,commercial sector,billion btu
LOCCB,the commercial sector's share of electrical system energy losses,LO,electrical system energy losses,CC,commercial sector,billion btu
ESCCB,"electricity consumed by (i.e., sold to) the commercial sector",ES,electricity,CC,commercial sector,billion btu
EMCCB,"fuel ethanol, excluding denaturant, consumed by the commercial sector",EM,"fuel ethanol, excluding denaturant",CC,commercial sector,billion btu
GECCB,geothermal energy consumed by the commercial sector,GE,geothermal energy,CC,commercial sector,billion btu
HLCCB,hydrocarbon gas liquids consumed by the commercial sector,HL,hydrocarbon gas liquids,CC,commercial sector,billion btu
HYCCB,hydropower consumed by the commercial sector,HY,hydropower,CC,commercial sector,billion btu
KSCCB,kerosene consumed by the commercial sector,KS,kerosene,CC,commercial sector,billion btu
MGCCB,motor gasoline consumed by the commercial sector,MG,motor gasoline consumed,CC,commercial sector,billion btu
NGCCB,natural gas consumed by (delivered to) the commercial sector,NG,natural gas,CC,commercial sector,billion btu
PCCCB,petroleum coke consumed by the commercial sector,PC,petroleum coke,CC,commercial sector,billion btu
PQCCB,propane consumed by the commercial sector,PQ,propane,CC,commercial sector,billion btu
RFCCB,residual fuel oil consumed by the commercial sector,RF,residual fuel oil,CC,commercial sector,billion btu
