bea_code,bea_desc,bea_level
11,"Agriculture, forestry, fishing, and hunting",sector
21,Mining,sector
22,Utilities,sector
23,Construction,sector
33DG,Durable goods,sector
31ND,Nondurable goods,sector
42,Wholesale trade,sector
44RT,Retail trade,sector
48TW,"Transportation and warehousing, excluding postal service",sector
51,Information,sector
52,Finance and insurance,sector
53,Real estate and rental and leasing,sector
54,Professional and technical services,sector
55,Management of companies and entreprises,sector
56,Administrative and waste services,sector
61,Educational services,sector
62,Health care and social assistance,sector
71,"Arts, entertainment, and recreation",sector
72,Accommodation and food services,sector
81,"Other services, except government",sector
G,Government,sector
Used,"Scrap, used and secondhand goods",sector
Other,Noncomparable imports and rest-of-the-world adjustment,sector
111CA,Farms,summary
113FF,"Forestry, fishing, and related activities",summary
211,Oil and gas extraction,summary
212,"Mining, except oil and gas",summary
213,Support activities for mining,summary
22,Utilities,summary
23,Construction,summary
321,Wood products,summary
327,Nonmetallic mineral products,summary
331,Primary metals,summary
332,Fabricated metal products,summary
333,Machinery,summary
334,Computer and electronic products,summary
335,"Electrical equipment, appliances, and components",summary
3361MV,"Motor vehicles, bodies and trailers, and parts",summary
3364OT,Other transportation equipment,summary
337,Furniture and related products,summary
339,Miscellaneous manufacturing,summary
311FT,Food and beverage and tobacco products,summary
313TT,Textile mills and textile product mills,summary
315AL,Apparel and leather and allied products,summary
322,Paper products,summary
323,Printing and related support activities,summary
324,Petroleum and coal products,summary
325,Chemical products,summary
326,Plastics and rubber products,summary
42,Wholesale trade,summary
441,Motor vehicle and parts dealers,summary
445,Food and beverage stores,summary
452,General merchandise stores,summary
4A0,Other retail,summary
481,Air transportation,summary
482,Rail transportation,summary
483,Water transportation,summary
484,Truck transportation,summary
485,Transit and ground passenger transportation,summary
486,Pipeline transportation,summary
487OS,Other transportation and support activities,summary
493,Warehousing and storage,summary
511,"Publishing industries, except internet (includes software)",summary
512,Motion picture and sound recording industries,summary
513,Broadcasting and telecommunications,summary
514,"Data processing, internet publishing, and other information services",summary
521CI,"Federal Reserve banks, credit intermediation, and related activities",summary
523,"Securities, commodity contracts, and investments",summary
524,Insurance carriers and related activities,summary
525,"Funds, trusts, and other financial vehicles",summary
HS,Housing,summary
ORE,Other real estate,summary
532RL,Rental and leasing services and lessors of intangible assets,summary
5411,Legal services,summary
5412OP,"Miscellaneous professional, scientific, and technical services",summary
5415,Computer systems design and related services,summary
55,Management of companies and enterprises,summary
561,Administrative and support services,summary
562,Waste management and remediation services,summary
61,Educational services,summary
621,Ambulatory health care services,summary
622,Hospitals,summary
623,Nursing and residential care facilities,summary
624,Social assistance,summary
711AS,"Performing arts, spectator sports, museums, and related activities",summary
713,"Amusements, gambling, and recreation industries",summary
721,Accommodation,summary
722,Food services and drinking places,summary
81,"Other services, except government",summary
GFGD,Federal general government (defense),summary
GFGN,Federal general government (nondefense),summary
GFE,Federal government enterprises,summary
GSLG,State and local general government,summary
GSLE,State and local government enterprises,summary
Used,"Scrap, used and secondhand goods",summary
Other,Noncomparable imports and rest-of-the-world adjustment,summary
111,Crop production,underlying
112,Animal production and aquaculture,underlying
113FF,"Forestry, fishing, and related activities",underlying
211,Oil and gas extraction,underlying
212,"Mining, except oil and gas",underlying
213,Support activities for mining,underlying
2211,"Electric power generation, transmission, and distribution",underlying
2212NW,"Natural gas distribution and water, sewage and other systems",underlying
23EH,"Education, hospital, and health structures",underlying
23OC,Office and commercial structures,underlying
23PC,Power and communication structures,underlying
23TH,Transportation structures and highways and streets,underlying
23OT,Other nonresidential structures,underlying
23SF,Single-family residential structures,underlying
23OR,Other residential construction,underlying
23MR,Maintenance and repair construction,underlying
321,Wood products,underlying
327,Nonmetallic mineral products,underlying
3311IS,Iron and steel mills and manufacturing from purchased steel,underlying
3313NF,Nonferrous metal production and processing and foundries,underlying
332,Fabricated metal products,underlying
