sector_code,summary_code,underlying_code,sector_desc,summary_desc,underlying_desc
11,111CA,111,"Agriculture, forestry, fishing, and hunting",Farms,Crop production
11,111CA,112,"Agriculture, forestry, fishing, and hunting",Farms,Animal production and aquaculture
11,113FF,113FF,"Agriculture, forestry, fishing, and hunting","Forestry, fishing, and related activities","Forestry, fishing, and related activities"
21,211,211,Mining,Oil and gas extraction,Oil and gas extraction
21,212,212,Mining,"Mining, except oil and gas","Mining, except oil and gas"
21,213,213,Mining,Support activities for mining,Support activities for mining
22,22,2211,Utilities,Utilities,"Electric power generation, transmission, and distribution"
22,22,2212NW,Utilities,Utilities,"Natural gas distribution and water, sewage and other systems"
23,23,23EH,Construction,Construction,"Education, hospital, and health structures"
23,23,23MR,Construction,Construction,Maintenance and repair construction
23,23,23OC,Construction,Construction,Office and commercial structures
23,23,23OR,Construction,Construction,Other residential construction
23,23,23OT,Construction,Construction,Other nonresidential structures
23,23,23PC,Construction,Construction,Power and communication structures
23,23,23SF,Construction,Construction,Single-family residential structures
23,23,23TH,Construction,Construction,Transportation structures and highways and streets
31ND,311FT,311,Nondurable goods,Food and beverage and tobacco products,Food manufacturing
31ND,311FT,3121,Nondurable goods,Food and beverage and tobacco products,Beverage manufacturing
31ND,311FT,3122,Nondurable goods,Food and beverage and tobacco products,Tobacco manufacturing
31ND,313TT,313TT,Nondurable goods,Textile mills and textile product mills,Textile mills and textile product mills
31ND,315AL,315AL,Nondurable goods,Apparel and leather and allied products,Apparel and leather and allied products
31ND,322,322,Nondurable goods,Paper products,Paper products
31ND,323,323,Nondurable goods,Printing and related support activities,Printing and related support activities
31ND,324,324,Nondurable goods,Petroleum and coal products,Petroleum and coal products
31ND,325,3251,Nondurable goods,Chemical products,Basic chemical manufacturing
31ND,325,3252,Nondurable goods,Chemical products,"Resin, rubber, and artificial fibers manufacturing"
31ND,325,3254,Nondurable goods,Chemical products,Pharmaceutical and medicine manufacturing
31ND,325,325X,Nondurable goods,Chemical products,Other chemical manufacturing
31ND,326,326,Nondurable goods,Plastics and rubber products,Plastics and rubber products
33DG,321,321,Durable goods,Wood products,Wood products
33DG,327,327,Durable goods,Nonmetallic mineral products,Nonmetallic mineral products
33DG,331,3311IS,Durable goods,Primary metals,Iron and steel mills and manufacturing from purchased steel
33DG,331,3313NF,Durable goods,Primary metals,Nonferrous metal production and processing and foundries
33DG,332,332,Durable goods,Fabricated metal products,Fabricated metal products
33DG,333,33311,Durable goods,Machinery,Agricultural implement manufacturing
33DG,333,33312,Durable goods,Machinery,Construction machinery manufacturing
33DG,333,33313,Durable goods,Machinery,Mining and oil and gas field machinery manufacturing
33DG,333,3332OM,Durable goods,Machinery,Other machinery
33DG,334,3341,Durable goods,Computer and electronic products,Computer and peripheral equipment manufacturing
33DG,334,3342,Durable goods,Computer and electronic products,Communications equipment manufacturing
33DG,334,3344,Durable goods,Computer and electronic products,Semiconductor and other electronic component manufacturing
33DG,334,3345,Durable goods,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments manufacturing"
