sector_code,summary_code,sector_desc,summary_desc
11,111CA,"Agriculture, forestry, fishing, and hunting",Farms
11,113FF,"Agriculture, forestry, fishing, and hunting","Forestry, fishing, and related activities"
21,211,Mining,Oil and gas extraction
21,212,Mining,"Mining, except oil and gas"
21,213,Mining,Support activities for mining
22,22,Utilities,Utilities
23,23,Construction,Construction
33DG,321,Durable goods,Wood products
33DG,327,Durable goods,Nonmetallic mineral products
33DG,331,Durable goods,Primary metals
33DG,332,Durable goods,Fabricated metal products
33DG,333,Durable goods,Machinery
33DG,334,Durable goods,Computer and electronic products
33DG,335,Durable goods,"Electrical equipment, appliances, and components"
33DG,3361MV,Durable goods,"Motor vehicles, bodies and trailers, and parts"
33DG,3364OT,Durable goods,Other transportation equipment
33DG,337,Durable goods,Furniture and related products
33DG,339,Durable goods,Miscellaneous manufacturing
31ND,311FT,Nondurable goods,Food and beverage and tobacco products
31ND,313TT,Nondurable goods,Textile mills and textile product mills
31ND,315AL,Nondurable goods,Apparel and leather and allied products
31ND,322,Nondurable goods,Paper products
31ND,323,Nondurable goods,Printing and related support activities
31ND,324,Nondurable goods,Petroleum and coal products
31ND,325,Nondurable goods,Chemical products
31ND,326,Nondurable goods,Plastics and rubber products
42,42,Wholesale trade,Wholesale trade
44RT,441,Retail trade,Motor vehicle and parts dealers
44RT,445,Retail trade,Food and beverage stores
44RT,452,Retail trade,General merchandise stores
44RT,4A0,Retail trade,Other retail
48TW,481,"Transportation and warehousing, excluding postal service",Air transportation
48TW,482,"Transportation and warehousing, excluding postal service",Rail transportation
48TW,483,"Transportation and warehousing, excluding postal service",Water transportation
48TW,484,"Transportation and warehousing, excluding postal service",Truck transportation
48TW,485,"Transportation and warehousing, excluding postal service",Transit and ground passenger transportation
48TW,486,"Transportation and warehousing, excluding postal service",Pipeline transportation
48TW,487OS,"Transportation and warehousing, excluding postal service",Other transportation and support activities
48TW,493,"Transportation and warehousing, excluding postal service",Warehousing and storage
51,511,Information,"Publishing industries, except internet (includes software)"
51,512,Information,Motion picture and sound recording industries
51,513,Information,Broadcasting and telecommunications
51,514,Information,"Data processing, internet publishing, and other information services"
52,521CI,Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities"
52,523,Finance and insurance,"Securities, commodity contracts, and investments"
52,524,Finance and insurance,Insurance carriers and related activities
52,525,Finance and insurance,"Funds, trusts, and other financial vehicles"
53,HS,Real estate and rental and leasing,Housing
53,ORE,Real estate and rental and leasing,Other real estate
53,532RL,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets
54,5411,Professional and technical services,Legal services
54,5412OP,Professional and technical services,"Miscellaneous professional, scientific, and technical services"
54,5415,Professional and technical services,Computer systems design and related services
55,55,Management of companies and entreprises,Management of companies and enterprises
56,561,Administrative and waste services,Administrative and support services
56,562,Administrative and waste services,Waste management and remediation services
61,61,Educational services,Educational services
62,621,Health care and social assistance,Ambulatory health care services
62,622,Health care and social assistance,Hospitals
62,623,Health care and social assistance,Nursing and residential care facilities
62,624,Health care and social assistance,Social assistance
71,711AS,"Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities"
71,713,"Arts, entertainment, and recreation","Amusements, gambling, and recreation industries"
72,721,Accommodation and food services,Accommodation
72,722,Accommodation and food services,Food services and drinking places
81,81,"Other services, except government","Other services, except government"
G,GFGD,Government,Federal general government (defense)
G,GFGN,Government,Federal general government (nondefense)
G,GFE,Government,Federal government enterprises
G,GSLG,Government,State and local general government
G,GSLE,Government,State and local government enterprises
Used,Used,"Scrap, used and secondhand goods","Scrap, used and secondhand goods"
Other,Other,Noncomparable imports and rest-of-the-world adjustment,Noncomparable imports and rest-of-the-world adjustment
