national_industry_code,naics_industry_code,industry_group_code,subsector_code,sector_code,national_industry_desc,naics_industry_desc,industry_group_desc,subsector_desc,sector_desc
111110,11111,1111,111,11,Soybean Farming,Soybean Farming,Oilseed and Grain Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111120,11112,1111,111,11,Oilseed (except Soybean) Farming,Oilseed (except Soybean) Farming,Oilseed and Grain Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111130,11113,1111,111,11,Dry Pea and Bean Farming,Dry Pea and Bean Farming,Oilseed and Grain Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111140,11114,1111,111,11,Wheat Farming,Wheat Farming,Oilseed and Grain Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111150,11115,1111,111,11,Corn Farming,Corn Farming,Oilseed and Grain Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111160,11116,1111,111,11,Rice Farming,Rice Farming,Oilseed and Grain Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111191,11119,1111,111,11,Oilseed and Grain Combination Farming,Other Grain Farming,Oilseed and Grain Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111199,11119,1111,111,11,All Other Grain Farming,Other Grain Farming,Oilseed and Grain Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111211,11121,1112,111,11,Potato Farming,Vegetable and Melon Farming,Vegetable and Melon Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111219,11121,1112,111,11,Other Vegetable (except Potato) and Melon Farming,Vegetable and Melon Farming,Vegetable and Melon Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111310,11131,1113,111,11,Orange Groves,Orange Groves,Fruit and Tree Nut Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111320,11132,1113,111,11,Citrus (except Orange) Groves,Citrus (except Orange) Groves,Fruit and Tree Nut Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111331,11133,1113,111,11,Apple Orchards,Noncitrus Fruit and Tree Nut Farming,Fruit and Tree Nut Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111332,11133,1113,111,11,Grape Vineyards,Noncitrus Fruit and Tree Nut Farming,Fruit and Tree Nut Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111333,11133,1113,111,11,Strawberry Farming,Noncitrus Fruit and Tree Nut Farming,Fruit and Tree Nut Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
111334,11133,1113,111,11,Berry (except Strawberry) Farming,Noncitrus Fruit and Tree Nut Farming,Fruit and Tree Nut Farming,Crop Production,"Agriculture, Forestry, Fishing and Hunting"
