sector_code,summary_code,underlying_code,detail_code,naics_code,sector_desc,summary_desc,underlying_desc,detail_desc,notes
G,GFE,GFE,S00101,,Government,Federal government enterprises,Federal government enterprises,Federal electric utilities,**
G,GSLE,GSLE,S00201,,Government,State and local government enterprises,State and local government enterprises,State and local government passenger transit,**
G,GSLE,GSLE,S00202,,Government,State and local government enterprises,State and local government enterprises,State and local government electric utilities,**
23,23,23EH,233210,23,Construction,Construction,"Education, hospital, and health structures",Health care structures,†
23,23,23EH,233262,23,Construction,Construction,"Education, hospital, and health structures",Educational and vocational structures,†
23,23,23MR,230301,23,Construction,Construction,Maintenance and repair construction,Nonresidential maintenance and repair,†
23,23,23MR,230302,23,Construction,Construction,Maintenance and repair construction,Residential maintenance and repair,†
23,23,23OC,2332A0,23,Construction,Construction,Office and commercial structures,Office and commercial structures,†
23,23,23OR,233412,23,Construction,Construction,Other residential construction,Multifamily residential structures,†
23,23,23OR,2334A0,23,Construction,Construction,Other residential construction,Other residential structures,†
23,23,23OT,233230,23,Construction,Construction,Other nonresidential structures,Manufacturing structures,†
23,23,23PC,233240,23,Construction,Construction,Power and communication structures,Power and communication structures,†
23,23,23SF,233411,23,Construction,Construction,Single-family residential structures,Single-family residential structures,†
Other,Other,S003,S00300,,Noncomparable imports and rest-of-the-world adjustment,Noncomparable imports and rest-of-the-world adjustment,Noncomparable imports,Noncomparable imports,††
Other,Other,S009,S00900,,Noncomparable imports and rest-of-the-world adjustment,Noncomparable imports and rest-of-the-world adjustment,Rest of the world adjustment,Rest of the world adjustment,††
Used,Used,S004,S00401,,"Scrap, used and secondhand goods","Scrap, used and secondhand goods","Scrap, used and secondhand goods",Scrap,††
Used,Used,S004,S00402,,"Scrap, used and secondhand goods","Scrap, used and secondhand goods","Scrap, used and secondhand goods",Used and secondhand goods,††
33DG,331,3313NF,331314,331314,Durable goods,Primary metals,Nonferrous metal production and processing and foundries,Secondary smelting and alloying of aluminum,‡
11,111CA,111,1111A0,11111-2,"Agriculture, forestry, fishing, and hunting",Farms,Crop production,Oilseed farming,
11,111CA,111,1111B0,"11113-6, 11119","Agriculture, forestry, fishing, and hunting",Farms,Crop production,Grain farming,
11,111CA,111,111200,1112,"Agriculture, forestry, fishing, and hunting",Farms,Crop production,Vegetable and melon farming,
11,111CA,111,111300,1113,"Agriculture, forestry, fishing, and hunting",Farms,Crop production,Fruit and tree nut farming,
11,111CA,111,111400,1114,"Agriculture, forestry, fishing, and hunting",Farms,Crop production,"Greenhouse, nursery, and floriculture production",
11,111CA,111,111900,1119,"Agriculture, forestry, fishing, and hunting",Farms,Crop production,Other crop farming,
11,111CA,112,1121A0,"11211, 11213","Agriculture, forestry, fishing, and hunting",Farms,Animal production and aquaculture,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",
11,111CA,112,112120,11212,"Agriculture, forestry, fishing, and hunting",Farms,Animal production and aquaculture,Dairy cattle and milk production,
11,111CA,112,112A00,"1122, 1124-5, 1129","Agriculture, forestry, fishing, and hunting",Farms,Animal production and aquaculture,"Animal production, except cattle and poultry and eggs",
11,111CA,112,112300,1123,"Agriculture, forestry, fishing, and hunting",Farms,Animal production and aquaculture,Poultry and egg production,
11,113FF,113FF,113000,113,"Agriculture, forestry, fishing, and hunting","Forestry, fishing, and related activities","Forestry, fishing, and related activities",Forestry and logging,
11,113FF,113FF,114000,114,"Agriculture, forestry, fishing, and hunting","Forestry, fishing, and related activities","Forestry, fishing, and related activities","Fishing, hunting and trapping",
