sgf_1997,line_num_1997,sgf_1997_relabel,sgf_1997_units,sgf_1998,line_num_1998,sgf_1998_relabel,sgf_1998_units,sgf_1999,line_num_1999,sgf_1999_relabel,sgf_1999_units,sgf_2000,line_num_2000,sgf_2000_relabel,sgf_2000_units,sgf_2001,line_num_2001,sgf_2001_relabel,sgf_2001_units,sgf_2002,line_num_2002,sgf_2002_relabel,sgf_2002_units,sgf_2003,line_num_2003,sgf_2003_relabel,sgf_2003_units,sgf_2004,line_num_2004,sgf_2004_relabel,sgf_2004_units,sgf_2005,line_num_2005,sgf_2005_relabel,sgf_2005_units,sgf_2006,line_num_2006,sgf_2006_relabel,sgf_2006_units,sgf_2007,line_num_2007,sgf_2007_relabel,sgf_2007_units,sgf_2008,line_num_2008,sgf_2008_relabel,sgf_2008_units,sgf_2009,line_num_2009,sgf_2009_relabel,sgf_2009_units,sgf_2010,line_num_2010,sgf_2010_relabel,sgf_2010_units,sgf_2011,line_num_2011,sgf_2011_relabel,sgf_2011_units,sgf_2012,sgf_2012_relabel,sgf_2012_units,sgf_2013,sgf_2013_relabel,sgf_2013_units,finsrc.id_2014,finsrc.id_2014_relabel,finsrc.id_2014_units,finsrc.id_2015,finsrc.id_2015_relabel,finsrc.id_2015_units,finsrc.id_2016,finsrc.id_2016_relabel,finsrc.id_2016_units
Population (thousands),1,Population,thousands,Population (thousands),1,Population,thousands,"Population (thousands, July 1, 1999)",1,Population,thousands,"Population (thousands, April 1, 2000)",1,Population,thousands,"Population (thousands, July 1, 2001)",1,Population,thousands,"Population (thousands, July, 2002)",1,Population,thousands,"Population (thousands, 2003)",1,Population,thousands,Total Revenue,1,Total Revenue,thousands of us dollars (USD),Total Revenue,1,Total Revenue,thousands of us dollars (USD),Total Revenue,1,Total Revenue,thousands of us dollars (USD),Total revenue,1,Total Revenue,thousands of us dollars (USD),Total revenue,1,Total Revenue,thousands of us dollars (USD),Total revenue,1,Total Revenue,thousands of us dollars (USD),Total revenue,1,Total Revenue,thousands of us dollars (USD),Total revenue,1,Total Revenue,thousands of us dollars (USD),SGF001,Total Revenue,thousands of us dollars (USD),SGF001,Total Revenue,thousands of us dollars (USD),1,Total Revenue,thousands of us dollars (USD),1,Total Revenue,thousands of us dollars (USD),1,Total Revenue,thousands of us dollars (USD)
Total Revenue,2,Total Revenue,thousands of us dollars (USD),Total Revenue,2,Total Revenue,thousands of us dollars (USD),"Personal income (millions, calendar year 1998)",2,Personal income,millions of us dollars (USD),"Personal income (millions, calendar year 1999)",2,Personal income,millions of us dollars (USD),"Personal income (millions, calendar year 2000)",2,Personal income,millions of us dollars (USD),Total Revenue,2,Total Revenue,thousands of us dollars (USD),Total Revenue,2,Total Revenue,thousands of us dollars (USD),General revenue,2,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,2,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,2,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,2,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,2,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,2,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,2,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,2,Total Revenue - General Revenue,thousands of us dollars (USD),SGF002,Total Revenue - General Revenue,thousands of us dollars (USD),SGF002,Total Revenue - General Revenue,thousands of us dollars (USD),10,Total Revenue - General Revenue,thousands of us dollars (USD),10,Total Revenue - General Revenue,thousands of us dollars (USD),10,Total Revenue - General Revenue,thousands of us dollars (USD)
General revenue,3,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,3,Total Revenue - General Revenue,thousands of us dollars (USD),Total Revenue,3,Total Revenue,thousands of us dollars (USD),Total Revenue,3,Total Revenue,thousands of us dollars (USD),Total revenue,3,Total Revenue,thousands of us dollars (USD),General revenue,3,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,3,Total Revenue - General Revenue,thousands of us dollars (USD),Intergovernmental revenue,3,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,3,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,3,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,3,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,3,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,3,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,3,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,3,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),SGF003,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),SGF003,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),101,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),101,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),101,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD)
Intergovernmental revenue,4,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,4,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),General revenue,4,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,4,Total Revenue - General Revenue,thousands of us dollars (USD),General revenue,4,Total Revenue - General Revenue,thousands of us dollars (USD),Intergovernmental revenue,4,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,4,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Taxes,4,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,4,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,4,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,4,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,4,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,4,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,4,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,4,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),SGF004,Total Revenue - General Revenue - Intergovernmental Revenue - From Federal,thousands of us dollars (USD),SGF004,Total Revenue - General Revenue - Intergovernmental Revenue - From Federal,thousands of us dollars (USD),102,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),102,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),102,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD)
Taxes,5,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,5,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Intergovernmental revenue,5,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,5,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Intergovernmental revenue,5,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD),Taxes,5,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,5,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),General sales,5,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,5,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,5,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,5,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,5,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,5,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,5,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,5,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),SGF005,Total Revenue - General Revenue - Intergovernmental Revenue - From Local,thousands of us dollars (USD),SGF005,Total Revenue - General Revenue - Intergovernmental Revenue - From Local,thousands of us dollars (USD),1021,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),1021,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),1021,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD)
General sales,6,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,6,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),Taxes,6,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,6,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),Taxes,6,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),General sales,6,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,6,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,6,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,6,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,6,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,6,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,6,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,6,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,6,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,6,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),SGF006,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),SGF006,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD),1022,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),1022,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),1022,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD)
Selective sales,7,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,7,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,7,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,7,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),General sales,7,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,7,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,7,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),License taxes,7,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,7,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,7,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,7,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,7,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,7,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,7,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,7,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),SGF007,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),SGF007,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD),1023,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),1023,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),1023,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD)
License taxes,8,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,8,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),Selective sales,8,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,8,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),Selective sales,8,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),License taxes,8,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,8,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),Individual income tax,8,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,8,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,8,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,8,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,8,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,8,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,8,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,8,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),SGF008,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),SGF008,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD),1024,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),1024,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),1024,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD)
Individual income,9,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,9,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),License taxes,9,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,9,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),License taxes,9,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),Individual income tax,9,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,9,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Corporate income tax,9,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,9,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,9,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,9,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,9,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,9,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,9,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,9,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),SGF009,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),SGF009,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD),1025,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),1025,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),1025,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD)
Corporation net income,10,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,10,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Individual income tax,10,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,10,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Individual income tax,10,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),Corporate income tax,10,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Corporate income tax,10,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD),Other taxes,10,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,10,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,10,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,10,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,10,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,10,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,10,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),Other taxes,10,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),SGF010,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),SGF010,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD),1026,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),1026,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD),1026,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD)
