parameter,index,name,units,tex,scope,g,s,Column1,Column2
a0,"[yr,r,g]",Armington supply,billions of us dollars (USD),,regional,1,0,FALSE,0
bopdef0,"[yr,r]",Balance of payments,billions of us dollars (USD),,regional,0,0,FALSE,0
c0,"[yr,r]",Total final household consumption,billions of us dollars (USD),,regional,0,0,FALSE,0
cd0,"[yr,r,g]",Final demand,billions of us dollars (USD),,regional,1,0,FALSE,0
cif0,"[yr,g]",CIF/FOB Adjustments on Imports,billions of us dollars (USD),,national,1,0,FALSE,0
d0,"[r,g]",,,,share,1,0,FALSE,0
dc0,"[yr,r,g]",,billions of us dollars (USD),,regional,1,0,FALSE,0
dd0,"[yr,r,g]",State level demand,billions of us dollars (USD),,regional,1,0,FALSE,0
dd0max,"[yr,r,g]",Maximum regional demand from local market,billions of us dollars (USD),,regional,1,0,FALSE,0
dd0min,"[yr,r,g]",Minimum regional demand from local market,billions of us dollars (USD),,regional,1,0,FALSE,0
dm0,"[yr,r,g,m]",State level margin supply,billions of us dollars (USD),,regional,1,0,FALSE,0
duty0,"[yr,g]",Import duties,billions of us dollars (USD),,national,1,0,FALSE,0
fd0,"[yr,g,fd,fdcat]",Final demand payments,billions of us dollars (USD),,national,1,0,FALSE,0
fe0,"[yr,r]",Total factor demand,billions of us dollars (USD),,regional,0,0,FALSE,0
fs0,"[yr,g]",Household production,billions of us dollars (USD),,national,1,0,FALSE,0
g0,"[yr,r,g]",Government demand,billions of us dollars (USD),,regional,1,0,FALSE,0
hhadj,"[yr,r]",Household adjustment,billions of us dollars (USD),,regional,0,0,FALSE,0
i0,"[yr,r,g]",Investment demand,billions of us dollars (USD),,regional,1,0,FALSE,0
id0,"[yr,r,g,s]",Intermediate demand,billions of us dollars (USD),,regional,1,1,FALSE,0
kd0,"[yr,r,s]",Capital demand,billions of us dollars (USD),,regional,0,1,FALSE,0
labor,"[yr,r,s]",,,,share,0,1,FALSE,0
ld0,"[yr,r,s]",Labor demand,billions of us dollars (USD),,regional,0,1,FALSE,0
