windc_code,naics_code,bea_code,gsp_code,sctg_code,windc_detail_code,naics_desc,bea_desc,gsp_desc,sctg_desc
agr,11211,1121A0,,,bef_agr,"Beef cattle ranching and farming, including feedlots","Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,
agr,11213,1121A0,,,bef_agr,Dual-purpose cattle ranching and farming,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,
agr,11212,112120,,,dry_agr,Dairy cattle and milk production,Dairy cattle and milk production,,
agr,,111CA,,,,,Farms,,
agr,111,,4,2,,Crop production,,Farms,Cereal Grains (includes seed)
agr,111,,4,3,,Crop production,,Farms,"Agricultural Products (excludes Animal Feed, Cereal Grains, and Forage Products)"
agr,112,,4,1,,Animal production and aquaculture,,Farms,Animals and Fish (live)
agr,311,,,4,,Food manufacturing,,,"Animal Feed, Eggs, Honey, and Other Products of Animal Origin"
agr,311,,,5,,Food manufacturing,,,"Meat, Poultry, Fish, Seafood, and Their Preparations"
air,481,481000,37,,air_air,Air transportation,Air transportation,Air transportation,
air,,481,,,,,Air transportation,,
alt,3151,,,,,Apparel knitting mills,,,
alt,3152,,,,,Cut and sew apparel manufacturing,,,
alt,3159,,,,,Apparel accessories and other apparel manufacturing,,,
alt,3161,,,,,Leather and hide tanning and finishing,,,
alt,3162,,,,,Footwear manufacturing,,,
alt,3169,,,,,Other leather and allied product manufacturing,,,
alt,315,315000,28,30,app_alt,Apparel manufacturing,Apparel manufacturing,Apparel and leather and allied products manufacturing,"Textiles, Leather, and Articles of Textiles or Leather"
alt,316,316000,28,,lea_alt,Leather and allied product manufacturing,Leather and allied product manufacturing,Apparel and leather and allied products manufacturing,
alt,,315AL,,,,,Apparel and leather and allied products,,
alt,313,,,30,,Textile mills,,,"Textiles, Leather, and Articles of Textiles or Leather"
alt,314,,,30,,Textile product mills,,,"Textiles, Leather, and Articles of Textiles or Leather"
amb,6211,621100,,,phy_amb,Offices of physicians,Offices of physicians,,
amb,6212,621200,,,dnt_amb,Offices of dentists,Offices of dentists,,
amb,6213,621300,,,ohp_amb,Offices of other health practitioners,Offices of other health practitioners,,
amb,6214,621400,,,out_amb,Outpatient care centers,Outpatient care centers,,
amb,6215,621500,,,lab_amb,Medical and diagnostic laboratories,Medical and diagnostic laboratories,,
amb,6216,621600,,,hom_amb,Home health care services,Home health care services,,
amb,6219,621900,,,oas_amb,Other ambulatory health care services,Other ambulatory health care services,,
amb,,621,,,,,Ambulatory health care services,,
amb,621,,71,,,Ambulatory health care services,,Ambulatory health care services,
amd,721,721000,79,,amd_amd,Accommodation,Accommodation,Accommodation,
amd,,721,,,,,Accommodation,,
art,7111,711100,,,pfm_art,Performing arts companies,Performing arts companies,,
art,7112,711200,,,spr_art,Spectator sports,Spectator sports,,
art,7113,711A00,,,agt_art,"Promoters of performing arts, sports, and similar events",Promoters of performing arts and sports and agents for public figures,,
art,7114,711A00,,,agt_art,"Agents and managers for artists, athletes, entertainers, and other public figures",Promoters of performing arts and sports and agents for public figures,,
art,7115,711500,,,ind_art,"Independent artists, writers, and performers","Independent artists, writers, and performers",,
art,712,712000,76,,mus_art,"Museums, historical sites, and similar institutions","Museums, historical sites, zoos, and parks","Performing arts, spectator sports, museums, and related activities",
art,,711AS,,,,,"Performing arts, spectator sports, museums, and related activities",,
art,711,,76,,,"Performing arts, spectator sports, and related industries",,"Performing arts, spectator sports, museums, and related activities",
basicsupply,,T013,,,basicsupply,,,,
basicvalueadded,,VABAS,,,basicvalueadded,,,,
bnk,521,52A000,52,,mon_bnk,Monetary authorities-central bank,Monetary authorities and depository credit intermediation,"Federal Reserve banks, credit intermediation, and related services",
bnk,5221,52A000,,,mon_bnk,Depository credit intermediation,Monetary authorities and depository credit intermediation,,
bnk,5222,522A00,,,cre_bnk,Nondepository credit intermediation,Nondepository credit intermediation and related activities,,
bnk,5223,522A00,,,cre_bnk,Activities related to credit intermediation,Nondepository credit intermediation and related activities,,
bnk,,521CI,,,,,"Federal Reserve banks, credit intermediation, and related activities",,
bnk,522,,52,,,Credit intermediation and related activities,,"Federal Reserve banks, credit intermediation, and related services",
brd,5151,515100,,,rad_brd,Radio and television broadcasting,Radio and television broadcasting,,
brd,5152,515200,,,cbl_brd,Cable and other subscription programming,Cable and other subscription programming,,
brd,5171,517110,,,wtl_brd,,Wired telecommunications carriers,,
brd,5172,517210,,,wls_brd,,Wireless telecommunications carriers (except satellite),,
brd,5174,517A00,,,sat_brd,Satellite telecommunications,"Satellite, telecommunications resellers, and all other telecommunications",,
brd,5175,517A00,,,sat_brd,,"Satellite, telecommunications resellers, and all other telecommunications",,
brd,5176,517A00,,,sat_brd,,"Satellite, telecommunications resellers, and all other telecommunications",,
brd,5177,517A00,,,sat_brd,,"Satellite, telecommunications resellers, and all other telecommunications",,
brd,5178,517A00,,,sat_brd,,"Satellite, telecommunications resellers, and all other telecommunications",,
brd,5179,517A00,,,sat_brd,Other telecommunications,"Satellite, telecommunications resellers, and all other telecommunications",,
brd,,513,,,,,Broadcasting and telecommunications,,
brd,515,,48,,,Broadcasting (except internet),,Broadcasting and telecommunications,
brd,517,,48,,,Telecommunications,,Broadcasting and telecommunications,
cep,3341,,,,,Computer and peripheral equipment manufacturing,,,
cep,3342,,,,,Communications equipment manufacturing,,,
cep,3343,334300,,,aud_cep,Audio and video equipment manufacturing,Audio and video equipment manufacturing,,
cep,3344,,,,,Semiconductor and other electronic component manufacturing,,,
cep,3345,,,,,"Navigational, measuring, electromedical, and control instruments manufacturing",,,
cep,3346,,,,,Manufacturing and reproducing magnetic and optical media,,,
cep,334111,334111,,,ecm_cep,Electronic computer manufacturing,Electronic computer manufacturing,,
cep,334112,334112,,,csd_cep,Computer storage device manufacturing,Computer storage device manufacturing,,
cep,334118,334118,,,ctm_cep,Computer terminal and other computer peripheral equipment manufacturing,Computer terminals and other computer peripheral equipment manufacturing,,
cep,33421,334210,,,tel_cep,Telephone apparatus manufacturing,Telephone apparatus manufacturing,,
cep,33422,334220,,,brd_cep,Radio and television broadcasting and wireless communications equipment manufacturing,Broadcast and wireless communications equipment,,
cep,33429,334290,,,oce_cep,Other communications equipment manufacturing,Other communications equipment manufacturing,,
cep,334413,334413,,,sem_cep,Semiconductor and related device manufacturing,Semiconductor and related device manufacturing,,
cep,334418,334418,,,prc_cep,Printed circuit assembly (electronic assembly) manufacturing,Printed circuit assembly (electronic assembly) manufacturing,,
cep,334412,33441A,,,oec_cep,Bare printed circuit board manufacturing,Other electronic component manufacturing,,
cep,334416,33441A,,,oec_cep,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",Other electronic component manufacturing,,
cep,334417,33441A,,,oec_cep,Electronic connector manufacturing,Other electronic component manufacturing,,
cep,334419,33441A,,,oec_cep,Other electronic component manufacturing,Other electronic component manufacturing,,
cep,334510,334510,,,eea_cep,Electromedical and electrotherapeutic apparatus manufacturing,Electromedical and electrotherapeutic apparatus manufacturing,,
cep,334511,334511,,,sdn_cep,"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing","Search, detection, and navigation instruments manufacturing",,
cep,334512,334512,,,aec_cep,"Automatic environmental control manufacturing for residential, commercial, and appliance use",Automatic environmental control manufacturing,,
cep,334513,334513,,,ipv_cep,"Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables",Industrial process variable instruments manufacturing,,
cep,334514,334514,,,tfl_cep,Totalizing fluid meter and counting device manufacturing,Totalizing fluid meter and counting device manufacturing,,
cep,334515,334515,,,els_cep,Instrument manufacturing for measuring and testing electricity and electrical signals,Electricity and signal testing instruments manufacturing,,
cep,334516,334516,,,ali_cep,Analytical laboratory instrument manufacturing,Analytical laboratory instrument manufacturing,,
cep,334517,334517,,,irr_cep,Irradiation apparatus manufacturing,Irradiation apparatus manufacturing,,
cep,334519,33451A,,,wcm_cep,Other measuring and controlling device manufacturing,"Watch, clock, and other measuring and controlling device manufacturing",,
cep,33461,334610,,,mmo_cep,Manufacturing and reproducing magnetic and optical media,Manufacturing and reproducing magnetic and optical media,,
cep,,334,,,,,Computer and electronic products,,
cep,334,,19,35,,Computer and electronic product manufacturing,,Computer and electronic products manufacturing,"Electronic and Other Electrical Equipment and Components, and Office Equipment"
cep,335,,,35,,"Electrical equipment, appliance, and component manufacturing",,,"Electronic and Other Electrical Equipment and Components, and Office Equipment"
changinv,,F030,,,,,,,
changinv,,F03000,,,changinv,,,,
che,3251,,,,,Basic chemical manufacturing,,,
che,3252,,,,,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",,,
che,3253,,,,,"Pesticide, fertilizer, and other agricultural chemical manufacturing",,,
che,3254,,,,,Pharmaceutical and medicine manufacturing,,,
che,3255,,,,,"Paint, coating, and adhesive manufacturing",,,
che,3256,,,,,"Soap, cleaning compound, and toilet preparation manufacturing",,,
che,3259,,,,,Other chemical product and preparation manufacturing,,,
che,32511,325110,,,ptr_che,Petrochemical manufacturing,Petrochemical manufacturing,,
che,32512,325120,,,igm_che,Industrial gas manufacturing,Industrial gas manufacturing,,
che,32513,325130,,,sdp_che,Synthetic dye and pigment manufacturing,Synthetic dye and pigment manufacturing,,
che,32518,325180,,,obi_che,Other basic inorganic chemical manufacturing,Other basic inorganic chemical manufacturing,,
che,32519,325190,,,obo_che,Other basic organic chemical manufacturing,Other basic organic chemical manufacturing,,
che,325211,325211,,,pmr_che,Plastics material and resin manufacturing,Plastics material and resin manufacturing,,
che,325212,3252A0,,,srf_che,Synthetic rubber manufacturing,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,,
che,32522,3252A0,,,srf_che,Artificial and synthetic fibers and filaments manufacturing,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,,
che,325411,325411,,,mbm_che,Medicinal and botanical manufacturing,Medicinal and botanical manufacturing,,
che,325412,325412,,,phm_che,Pharmaceutical preparation manufacturing,Pharmaceutical preparation manufacturing,,
che,325413,325413,,,inv_che,In-vitro diagnostic substance manufacturing,In-vitro diagnostic substance manufacturing,,
che,325414,325414,,,bio_che,Biological product (except diagnostic) manufacturing,Biological product (except diagnostic) manufacturing,,
che,32531,325310,,,fmf_che,Fertilizer manufacturing,Fertilizer manufacturing,,
che,32532,325320,,,pag_che,Pesticide and other agricultural chemical manufacturing,Pesticide and other agricultural chemical manufacturing,,
che,32551,325510,,,pnt_che,Paint and coating manufacturing,Paint and coating manufacturing,,
che,32552,325520,,,adh_che,Adhesive manufacturing,Adhesive manufacturing,,
che,32561,325610,,,sop_che,Soap and cleaning compound manufacturing,Soap and cleaning compound manufacturing,,
che,32562,325620,,,toi_che,Toilet preparation manufacturing,Toilet preparation manufacturing,,
che,32591,325910,,,pri_che,Printing ink manufacturing,Printing ink manufacturing,,
che,32592,3259A0,,,och_che,Explosives manufacturing,All other chemical product and preparation manufacturing,,
che,32599,3259A0,,,och_che,All other chemical product and preparation manufacturing,All other chemical product and preparation manufacturing,,
che,,325,,,,,Chemical products,,
che,325,,32,20,,Chemical manufacturing,,Chemical products manufacturing,Basic Chemicals
che,325,,32,21,,Chemical manufacturing,,Chemical products manufacturing,Pharmaceutical Products
che,325,,32,22,,Chemical manufacturing,,Chemical products manufacturing,Fertilizers
che,325,,32,23,,Chemical manufacturing,,Chemical products manufacturing,Other Chemical Products and Preparations
ciffob,,MADJ,,,ciffob,,,,
com,541511,541511,,,cus_com,Custom computer programming services,Custom computer programming services,,
com,541512,541512,,,sys_com,Computer systems design services,Computer systems design services,,
com,541513,54151A,,,ocs_com,Computer facilities management services,"Other computer related services, including facilities management",,
com,541519,54151A,,,ocs_com,Other computer related services,"Other computer related services, including facilities management",,
com,,5415,,,,,Computer systems design and related services,,
com,5415,,62,,,Computer systems design and related services,,Computer systems design and related services,
compen,,V001,,,,,,,
compen,,V00100,,,compen,,,,
con,23,233210,11,,hcs_con,Construction,Health care structures,Construction,
con,23,233262,11,,edu_con,Construction,Educational and vocational structures,Construction,
con,23,2332A0,11,,off_con,Construction,Office and commercial structures,Construction,
con,23,233240,11,,pwr_con,Construction,Power and communication structures,Construction,
con,23,2332C0,11,,trn_con,Construction,Transportation structures and highways and streets,Construction,
con,23,233230,11,,mfs_con,Construction,Manufacturing structures,Construction,
con,23,2332D0,11,,ons_con,Construction,Other nonresidential structures,Construction,
con,23,233411,11,,srs_con,Construction,Single-family residential structures,Construction,
con,23,233412,11,,mrs_con,Construction,Multifamily residential structures,Construction,
con,23,2334A0,11,,ors_con,Construction,Other residential structures,Construction,
con,23,230301,11,,nmr_con,Construction,Nonresidential maintenance and repair,Construction,
con,23,230302,11,,rmr_con,Construction,Residential maintenance and repair,Construction,
con,,23,,,,,Construction,,
dat,5182,518200,,,dpr_dat,"Data processing, hosting, and related services","Data processing, hosting, and related services",,
dat,51913,519130,,,int_dat,Internet publishing and broadcasting and web search portals,Internet publishing and broadcasting and Web search portals,,
dat,51911,5191A0,,,new_dat,News syndicates,"News syndicates, libraries, archives and all other information services",,
dat,51912,5191A0,,,new_dat,Libraries and archives,"News syndicates, libraries, archives and all other information services",,
dat,51919,5191A0,,,new_dat,All other information services,"News syndicates, libraries, archives and all other information services",,
dat,,514,,,,,"Data processing, internet publishing, and other information services",,
dat,518,,49,,,"Data processing, hosting, and related services",,"Data processing, internet publishing, and other information services",
dat,519,,49,,,Other information services,,"Data processing, internet publishing, and other information services",
def_equipment,,F06E,,,,,,,
def_equipment,,F06E00,,,def_equipment,,,,
def_intelprop,,F06N,,,,,,,
def_intelprop,,F06N00,,,def_intelprop,,,,
def_structures,,F06S,,,,,,,
def_structures,,F06S00,,,def_structures,,,,
defense,,F06C,,,,,,,
defense,,F06C00,,,defense,,,,
duties,,MDTY,,,duties,,,,
edu,6111,611100,,,sec_edu,Elementary and secondary schools,Elementary and secondary schools,,
edu,6112,611A00,,,uni_edu,Junior colleges,"Junior colleges, colleges, universities, and professional schools",,
edu,6113,611A00,,,uni_edu,"Colleges, universities, and professional schools","Junior colleges, colleges, universities, and professional schools",,
edu,6114,611B00,,,oes_edu,Business schools and computer and management training,Other educational services,,
edu,6115,611B00,,,oes_edu,Technical and trade schools,Other educational services,,
edu,6116,611B00,,,oes_edu,Other schools and instruction,Other educational services,,
edu,6117,611B00,,,oes_edu,Educational support services,Other educational services,,
edu,,61,,,,,Educational services,,
edu,61,,69,,,Educational services,,Educational services,
eec,3351,,,,,Electric lighting equipment manufacturing,,,
eec,3352,,,,,Household appliance manufacturing,,,
eec,3353,,,,,Electrical equipment manufacturing,,,
eec,3359,,,,,Other electrical equipment and component manufacturing,,,
eec,33511,335110,,,elb_eec,Electric lamp bulb and part manufacturing,Electric lamp bulb and part manufacturing,,
eec,33512,335120,,,ltf_eec,Lighting fixture manufacturing,Lighting fixture manufacturing,,
eec,33521,335210,,,sea_eec,Small electrical appliance manufacturing,Small electrical appliance manufacturing,,
eec,335221,335221,,,hca_eec,,Household cooking appliance manufacturing,,
eec,335222,335222,,,hrf_eec,,Household refrigerator and home freezer manufacturing,,
eec,335224,335224,,,hle_eec,,Household laundry equipment manufacturing,,
eec,335228,335228,,,omh_eec,,Other major household appliance manufacturing,,
eec,335311,335311,,,pwr_eec,"Power, distribution, and specialty transformer manufacturing","Power, distribution, and specialty transformer manufacturing",,
eec,335312,335312,,,mtg_eec,Motor and generator manufacturing,Motor and generator manufacturing,,
eec,335313,335313,,,swt_eec,Switchgear and switchboard apparatus manufacturing,Switchgear and switchboard apparatus manufacturing,,
eec,335314,335314,,,ric_eec,Relay and industrial control manufacturing,Relay and industrial control manufacturing,,
eec,335911,335911,,,sbt_eec,Storage battery manufacturing,Storage battery manufacturing,,
eec,335912,335912,,,pbt_eec,Primary battery manufacturing,Primary battery manufacturing,,
eec,33592,335920,,,cme_eec,Communication and energy wire and cable manufacturing,Communication and energy wire and cable manufacturing,,
eec,33593,335930,,,wdv_eec,Wiring device manufacturing,Wiring device manufacturing,,
eec,335991,335991,,,cbn_eec,Carbon and graphite product manufacturing,Carbon and graphite product manufacturing,,
eec,335999,335999,,,oee_eec,All other miscellaneous electrical equipment and component manufacturing,All other miscellaneous electrical equipment and component manufacturing,,
eec,,335,,,,,"Electrical equipment, appliances, and components",,
eec,335,,20,35,,"Electrical equipment, appliance, and component manufacturing",,"Electrical equipment, appliance, and components manufacturing","Electronic and Other Electrical Equipment and Components, and Office Equipment"
eec,334,,,35,,Computer and electronic product manufacturing,,,"Electronic and Other Electrical Equipment and Components, and Office Equipment"
equipment,,F02E,,,,,,,
equipment,,F02E00,,,equipment,,,,
exports,,F040,,,,,,,
exports,,F04000,,,exports,,,,
fbp,3111,,,,,Animal food manufacturing,,,
fbp,3112,,,,,Grain and oilseed milling,,,
fbp,3113,311300,,,sug_fbp,Sugar and confectionery product manufacturing,Sugar and confectionery product manufacturing,,
fbp,3114,,,,,Fruit and vegetable preserving and specialty food manufacturing,,,
fbp,3115,,,,,Dairy product manufacturing,,,
fbp,3116,,,,,Animal slaughtering and processing,,,
fbp,3117,311700,,,sea_fbp,Seafood product preparation and packaging,Seafood product preparation and packaging,,
fbp,3118,,,,,Bakeries and tortilla manufacturing,,,
fbp,3119,,,,,Other food manufacturing,,,
fbp,3121,,,,,Beverage manufacturing,,,
fbp,3122,312200,,,cig_fbp,Tobacco manufacturing,Tobacco manufacturing,,
fbp,311111,311111,,,dog_fbp,Dog and cat food manufacturing,Dog and cat food manufacturing,,
fbp,311119,311119,,,oaf_fbp,Other animal food manufacturing,Other animal food manufacturing,,
fbp,31121,311210,,,flr_fbp,Flour milling and malt manufacturing,Flour milling and malt manufacturing,,
fbp,311221,311221,,,wet_fbp,Wet corn milling,Wet corn milling,,
fbp,311224,311224,,,soy_fbp,Soybean and other oilseed processing,Soybean and other oilseed processing,,
fbp,311225,311225,,,fat_fbp,Fats and oils refining and blending,Fats and oils refining and blending,,
fbp,31123,311230,,,brk_fbp,Breakfast cereal manufacturing,Breakfast cereal manufacturing,,
fbp,31141,311410,,,fzn_fbp,Frozen food manufacturing,Frozen food manufacturing,,
fbp,31142,311420,,,can_fbp,"Fruit and vegetable canning, pickling, and drying","Fruit and vegetable canning, pickling, and drying",,
fbp,311511,31151A,,,mlk_fbp,Fluid milk manufacturing,Fluid milk and butter manufacturing,,
fbp,311512,31151A,,,mlk_fbp,Creamery butter manufacturing,Fluid milk and butter manufacturing,,
fbp,311513,311513,,,chs_fbp,Cheese manufacturing,Cheese manufacturing,,
fbp,311514,311514,,,dry_fbp,"Dry, condensed, and evaporated dairy product manufacturing","Dry, condensed, and evaporated dairy product manufacturing",,
fbp,31152,311520,,,ice_fbp,Ice cream and frozen dessert manufacturing,Ice cream and frozen dessert manufacturing,,
fbp,311611,31161A,,,asp_fbp,Animal (except poultry) slaughtering,"Animal (except poultry) slaughtering, rendering, and processing",,
fbp,311612,31161A,,,asp_fbp,Meat processed from carcasses,"Animal (except poultry) slaughtering, rendering, and processing",,
fbp,311613,31161A,,,asp_fbp,Rendering and meat byproduct processing,"Animal (except poultry) slaughtering, rendering, and processing",,
fbp,311615,311615,,,chk_fbp,Poultry processing,Poultry processing,,
fbp,31181,311810,,,brd_fbp,Bread and bakery product manufacturing,Bread and bakery product manufacturing,,
fbp,31182,3118A0,,,cok_fbp,"Cookie, cracker, and pasta manufacturing","Cookie, cracker, pasta, and tortilla manufacturing",,
fbp,31183,3118A0,,,cok_fbp,Tortilla manufacturing,"Cookie, cracker, pasta, and tortilla manufacturing",,
fbp,31191,311910,,,snk_fbp,Snack food manufacturing,Snack food manufacturing,,
fbp,31192,311920,,,tea_fbp,Coffee and tea manufacturing,Coffee and tea manufacturing,,
fbp,31193,311930,,,syr_fbp,Flavoring syrup and concentrate manufacturing,Flavoring syrup and concentrate manufacturing,,
fbp,31194,311940,,,spc_fbp,Seasoning and dressing manufacturing,Seasoning and dressing manufacturing,,
fbp,31199,311990,,,ofm_fbp,All other food manufacturing,All other food manufacturing,,
fbp,31211,312110,,,pop_fbp,Soft drink and ice manufacturing,Soft drink and ice manufacturing,,
fbp,31212,312120,,,ber_fbp,Breweries,Breweries,,
fbp,31213,312130,,,wne_fbp,Wineries,Wineries,,
fbp,31214,312140,,,why_fbp,Distilleries,Distilleries,,
fbp,,311FT,,,,,Food and beverage and tobacco products,,
fbp,311,,26,4,,Food manufacturing,,Food and beverage and tobacco products manufacturing,"Animal Feed, Eggs, Honey, and Other Products of Animal Origin"
fbp,311,,26,5,,Food manufacturing,,Food and beverage and tobacco products manufacturing,"Meat, Poultry, Fish, Seafood, and Their Preparations"
fbp,311,,26,6,,Food manufacturing,,Food and beverage and tobacco products manufacturing,"Milled Grain Products and Preparations, and Bakery Products"
fbp,311,,26,7,,Food manufacturing,,Food and beverage and tobacco products manufacturing,"Other Prepared Foodstuffs, and Fats and Oils"
fbp,312,,26,8,,Beverage and tobacco product manufacturing,,Food and beverage and tobacco products manufacturing,Alcoholic Beverages and Denatured Alcohol
fbp,312,,26,9,,Beverage and tobacco product manufacturing,,Food and beverage and tobacco products manufacturing,Tobacco Products
fbt,445,445000,,,fbt_fbt,Food and beverage stores,Food and beverage stores,,
fbt,,445,,,,,Food and beverage stores,,
fbt,44-45,,35,,,Retail trade,,Retail trade,
fdd,,S00500,84,,fdd_fdd,,Federal general government (defense),Federal military,
fdd,,GFGD,84,,,,Federal general government (defense),Federal military,
fed_equipment,,F07E,,,,,,,
fed_equipment,,F07E00,,,fed_equipment,,,,
fed_intelprop,,F07N,,,,,,,
fed_intelprop,,F07N00,,,fed_intelprop,,,,
fed_structures,,F07S,,,,,,,
fed_structures,,F07S00,,,fed_structures,,,,
fen,491,491000,,,pst_fen,Postal service,Postal service,,
fen,,S00101,83,,ele_fen,,Federal electric utilities,Federal civilian,
fen,,S00102,83,,ofg_fen,,Other federal government enterprises,Federal civilian,
fen,,GFE,83,,,,Federal government enterprises,Federal civilian,
fin,525,525000,55,,fin_fin,"Funds, trusts, and other financial vehicles","Funds, trusts, and other financial vehicles","Funds, trusts, and other financial vehicles",
fin,,525,,,,,"Funds, trusts, and other financial vehicles",,
fmt,3315,,,,,Foundries,,,
fmt,3321,,,,,Forging and stamping,,,
fmt,3322,332200,,,cut_fmt,Cutlery and handtool manufacturing,Cutlery and handtool manufacturing,,
fmt,3323,,,,,Architectural and structural metals manufacturing,,,
fmt,3324,,,,,"Boiler, tank, and shipping container manufacturing",,,
fmt,3325,332500,,,hdw_fmt,Hardware manufacturing,Hardware manufacturing,,
fmt,3326,332600,,,spr_fmt,Spring and wire product manufacturing,Spring and wire product manufacturing,,
fmt,3327,,,,,"Machine shops; turned product; and screw, nut, and bolt manufacturing",,,
fmt,3329,,,,,Other fabricated metal product manufacturing,,,
fmt,3331,,,,,"Agriculture, construction, and mining machinery manufacturing",,,
fmt,332111,33211A,,,fss_fmt,Iron and steel forging,"All other forging, stamping, and sintering",,
fmt,332112,33211A,,,fss_fmt,Nonferrous forging,"All other forging, stamping, and sintering",,
fmt,332117,33211A,,,fss_fmt,Powder metallurgy part manufacturing,"All other forging, stamping, and sintering",,
fmt,332114,332114,,,rol_fmt,Custom roll forming,Custom roll forming,,
fmt,332119,332119,,,crn_fmt,"Metal crown, closure, and other metal stamping (except automotive)","Metal crown, closure, and other metal stamping (except automotive)",,
fmt,33231,332310,,,plt_fmt,Plate work and fabricated structural product manufacturing,Plate work and fabricated structural product manufacturing,,
fmt,33232,332320,,,orn_fmt,Ornamental and architectural metal products manufacturing,Ornamental and architectural metal products manufacturing,,
fmt,33241,332410,,,pwr_fmt,Power boiler and heat exchanger manufacturing,Power boiler and heat exchanger manufacturing,,
fmt,33242,332420,,,mtt_fmt,Metal tank (heavy gauge) manufacturing,Metal tank (heavy gauge) manufacturing,,
fmt,33243,332430,,,mtc_fmt,"Metal can, box, and other metal container (light gauge) manufacturing","Metal can, box, and other metal container (light gauge) manufacturing",,
fmt,33271,332710,,,mch_fmt,Machine shops,Machine shops,,
fmt,33272,332720,,,tps_fmt,"Turned product and screw, nut, and bolt manufacturing","Turned product and screw, nut, and bolt manufacturing",,
fmt,3328,332800,,,ceh_fmt,"Coating, engraving, heat treating, and allied activities","Coating, engraving, heat treating and allied activities",,
fmt,332911,33291A,,,vlv_fmt,Industrial valve manufacturing,Valve and fittings other than plumbing,,
fmt,332912,33291A,,,vlv_fmt,Fluid power valve and hose fitting manufacturing,Valve and fittings other than plumbing,,
fmt,332919,33291A,,,vlv_fmt,Other metal valve and pipe fitting manufacturing,Valve and fittings other than plumbing,,
fmt,332913,332913,,,plb_fmt,Plumbing fixture fitting and trim manufacturing,Plumbing fixture fitting and trim manufacturing,,
fmt,332991,332991,,,bbr_fmt,Ball and roller bearing manufacturing,Ball and roller bearing manufacturing,,
fmt,332992,33299A,,,amn_fmt,Small arms ammunition manufacturing,"Ammunition, arms, ordnance, and accessories manufacturing",,
fmt,332993,33299A,,,amn_fmt,Ammunition (except small arms) manufacturing,"Ammunition, arms, ordnance, and accessories manufacturing",,
fmt,332994,33299A,,,amn_fmt,"Small arms, ordnance, and ordnance accessories manufacturing","Ammunition, arms, ordnance, and accessories manufacturing",,
fmt,332996,332996,,,fab_fmt,Fabricated pipe and pipe fitting manufacturing,Fabricated pipe and pipe fitting manufacturing,,
fmt,332999,332999,,,omf_fmt,All other miscellaneous fabricated metal product manufacturing,Other fabricated metal manufacturing,,
fmt,,332,,,,,Fabricated metal products,,
fmt,332,,17,33,,Fabricated metal product manufacturing,,Fabricated metal products,Articles of Base Metal
fnd,,S00600,83,,fnd_fnd,,Federal general government (nondefense),Federal civilian,
fnd,,GFGN,83,,,,Federal general government (nondefense),Federal civilian,
fof,1132,,,,,Forest nurseries and gathering of forest products,,,
