sgf,code,desc,units
Total Revenue,TOTREV,Total Revenue,thousands of us dollars (USD)
General revenue,GENREV,Total Revenue - General Revenue,thousands of us dollars (USD)
Intergovernmental revenue,INTREV,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD)
Taxes,TAXREV,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD)
General sales,GSALES,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD)
Selective sales,SSALES,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD)
License taxes,LICTAX,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD)
Individual income,INDTAX,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD)
Corporation net income,CORTAX,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD)
Other taxes,OTHTAX,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD)
Current charges,CURCHG,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD)
Miscellaneous general revenue,MSCREV,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD)
Utility revenue,UTLREV,Total Revenue - Utility Revenue,thousands of us dollars (USD)
Liquor stores revenue,LIQREV,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD)
Insurance trust revenue,INSREV,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD)
Total Expenditure,TOTEXP,Total Expenditure,thousands of us dollars (USD)
Intergovernmental expenditure,INTEXP,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD)
Direct expenditure,DIREXP,Total Expenditure - Direct Expenditure,thousands of us dollars (USD)
Current operation,CUROPR,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD)
Capital outlay,CAPOUT,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD)
Insurance benefits and repayments,INSBEN,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD)
Assistance and subsidies,SUBSID,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD)
Interest on debt,INTRST,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD)
Exhibit: Salaries and wages,SALARY,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD)
Total expenditure,TOTEXP,Total Expenditure,thousands of us dollars (USD)
General expenditure,GENEXP,Total Expenditure - General Expenditure,thousands of us dollars (USD)
Education,EDUCAT,"General Expenditure, by Function: - Education",thousands of us dollars (USD)
Public welfare,PUBWEL,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD)
Hospitals,HOSPTL,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD)
Health,HEALTH,"General Expenditure, by Function: - Health",thousands of us dollars (USD)
Highways,HGHWAY,"General Expenditure, by Function: - Highways",thousands of us dollars (USD)
Police protection,POLICE,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD)
Correction,CORREC,"General Expenditure, by Function: - Correction",thousands of us dollars (USD)
Natural resources,NATRES,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD)
Parks and recreation,PARKRC,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD)
Governmental administration,GOVADM,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD)
Interest on general debt,INTGEN,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD)
Other and unallocable,OTHUNA,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD)
Utility expenditure,UTLEXP,Utility Expenditure,thousands of us dollars (USD)
Liquor stores expenditure,LIQEXP,Liquor Stores Expenditure,thousands of us dollars (USD)
Insurance trust expenditure,INSEXP,Insurance Trust Expenditure,thousands of us dollars (USD)
Debt at end of fiscal year,DEBTFY,"Debt Outstanding, Long Term and Short Term",thousands of us dollars (USD)
Cash and Security Holdings,CASHSH,Cash and Security Holdings,thousands of us dollars (USD)
Individual income tax,INDTAX,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD)
Corporate income tax,CORTAX,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD)
Cash and security holdings,CASHSH,Cash and Security Holdings,thousands of us dollars (USD)
Liquor store revenue,LIQREV,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD)
Government administration,GOVADM,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD)
Liquor store expenditure,LIQEXP,Liquor Stores Expenditure,thousands of us dollars (USD)
Total revenue,TOTREV,Total Revenue,thousands of us dollars (USD)
Insurance trust revenue (1),INSREV,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD)
SGF001,TOTREV,Total Revenue,thousands of us dollars (USD)
SGF002,GENREV,Total Revenue - General Revenue,thousands of us dollars (USD)
SGF003,INTREV,Total Revenue - General Revenue - Intergovernmental Revenue,thousands of us dollars (USD)
SGF004,INTFED,Total Revenue - General Revenue - Intergovernmental Revenue - From Federal,thousands of us dollars (USD)
SGF005,INTLOC,Total Revenue - General Revenue - Intergovernmental Revenue - From Local,thousands of us dollars (USD)
SGF006,TAXREV,Total Revenue - General Revenue - Total Taxes,thousands of us dollars (USD)
SGF007,GSALES,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,thousands of us dollars (USD)
SGF008,SSALES,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,thousands of us dollars (USD)
SGF009,LICTAX,Total Revenue - General Revenue - Total Taxes - License Taxes,thousands of us dollars (USD)
SGF010,INDTAX,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,thousands of us dollars (USD)
SGF011,CORTAX,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,thousands of us dollars (USD)
SGF012,OTHTAX,Total Revenue - General Revenue - Total Taxes - All Other Taxes,thousands of us dollars (USD)
SGF013,CURCHG,Total Revenue - General Revenue - Current Charges,thousands of us dollars (USD)
SGF014,MSCREV,Total Revenue - General Revenue - Miscellaneous General Revenue,thousands of us dollars (USD)
SGF015,UTLREV,Total Revenue - Utility Revenue,thousands of us dollars (USD)
SGF016,LIQREV,Total Revenue - Liquor Stores Revenue,thousands of us dollars (USD)
SGF017,INSREV,Total Revenue - Insurance Trust Revenue,thousands of us dollars (USD)
SGF018,UNEMPL,Total Revenue - Insurance Trust Revenue - Unemployment Compensation Systems,thousands of us dollars (USD)
SGF019,PENSON,Total Revenue - Insurance Trust Revenue - State-Administered Pension Systems,thousands of us dollars (USD)
SGF020,WRKCMP,Total Revenue - Insurance Trust Revenue - Workers' Compensation Systems,thousands of us dollars (USD)
SGF021,OTHINS,Total Revenue - Insurance Trust Revenue - Other Insurance Trust Systems,thousands of us dollars (USD)
SGF022,TOTEXP,Total Expenditure,thousands of us dollars (USD)
SGF023,INTEXP,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD)
SGF024,DIREXP,Total Expenditure - Direct Expenditure,thousands of us dollars (USD)
SGF025,CUROPR,Total Expenditure - Direct Expenditure - Current Operations,thousands of us dollars (USD)
