from,to
02,ak
2,ak
AK,ak
ALASKA,ak
Alaska,ak
Alaska,ak
alaska,ak
01,al
1,al
AL,al
ALABAMA,al
Ala.,al
Alabama,al
alabama,al
05,ar
5,ar
AR,ar
ARKANSAS,ar
Ark.,ar
Arkansas,ar
arkansas,ar
04,az
4,az
ARIZONA,az
AZ,az
Ariz.,az
Arizona,az
arizona,az
06,ca
6,ca
CA,ca
CALIFORNIA,ca
Calif.,ca
California,ca
california,ca
C,canada
CANADA,canada
Canada,canada
canada,canada
08,co
8,co
CO,co
COLORADO,co
Colo.,co
Colorado,co
colorado,co
09,ct
9,ct
CONNECTICUT,ct
CT,ct
Conn.,ct
Connecticut,ct
connecticut,ct
11,dc
D.C.,dc
DC,dc
DISTRICT OF COLUMBIA,dc
Dist of Columbia,dc
District of Columbia,dc
district of columbia,dc
10,de
DE,de
DELAWARE,de
Del.,de
Delaware,de
delaware,de
Far West,far west
X5,"federa offshore, pacific"
X3,"federal offshore, gulf of mexico"
12,fl
FL,fl
FLORIDA,fl
Fla.,fl
Florida,fl
florida,fl
13,ga
GA,ga
GEORGIA,ga
Ga.,ga
Georgia,ga
georgia,ga
Great Lakes,great lakes
15,hi
HAWAII,hi
HI,hi
Hawaii,hi
Hawaii,hi
hawaii,hi
19,ia
IA,ia
IOWA,ia
Iowa,ia
Iowa,ia
iowa,ia
16,id
ID,id
IDAHO,id
Idaho,id
Idaho,id
idaho,id
17,il
IL,il
ILLINOIS,il
Ill.,il
Illinois,il
illinois,il
18,in
IN,in
INDIANA,in
Ind.,in
Indiana,in
indiana,in
20,ks
KANSAS,ks
KS,ks
Kans.,ks
Kansas,ks
kansas,ks
21,ky
KENTUCKY,ky
KY,ky
Kentucky,ky
Ky.,ky
kentucky,ky
22,la
LA,la
LOUISIANA,la
La.,la
Louisiana,la
louisiana,la
25,ma
MA,ma
MASSACHUSETTS,ma
Mass.,ma
Massachusetts,ma
massachusetts,ma
24,md
MARYLAND,md
MD,md
Maryland,md
Md.,md
maryland,md
23,me
MAINE,me
ME,me
Maine,me
Maine,me
maine,me
M,mexico
26,mi
MI,mi
MICHIGAN,mi
Mich.,mi
Michigan,mi
michigan,mi
Mideast,mideast
27,mn
MINNESOTA,mn
MN,mn
Minn.,mn
Minnesota,mn
minnesota,mn
29,mo
MISSOURI,mo
MO,mo
Missouri,mo
Mo.,mo
missouri,mo
28,ms
MISSISSIPPI,ms
MS,ms
Miss.,ms
Mississippi,ms
mississippi,ms
30,mt
MONTANA,mt
MT,mt
Mont.,mt
Montana,mt
montana,mt
37,nc
N.C.,nc
NC,nc
NORTH CAROLINA,nc
North Carolina,nc
north carolina,nc
38,nd
N.D.,nd
ND,nd
NORTH DAKOTA,nd
North Dakota,nd
north dakota,nd
31,ne
NE,ne
NEBRASKA,ne
Nebr.,ne
Nebraska,ne
nebraska,ne
New England,new england
33,nh
N.H.,nh
NEW HAMPSHIRE,nh
NH,nh
New Hampshire,nh
new hampshire,nh
34,nj
N.J.,nj
NEW JERSEY,nj
NJ,nj
New Jersey,nj
new jersey,nj
35,nm
N.M.,nm
NEW MEXICO,nm
NM,nm
New Mexico,nm
new mexico,nm
32,nv
NEVADA,nv
NV,nv
Nev.,nv
Nevada,nv
nevada,nv
36,ny
N.Y.,ny
NEW YORK,ny
NY,ny
New York,ny
new york,ny
39,oh
OH,oh
OHIO,oh
Ohio,oh
Ohio,oh
ohio,oh
40,ok
OK,ok
OKLAHOMA,ok
Okla.,ok
Oklahoma,ok
oklahoma,ok
41,or
OR,or
OREGON,or
Ore.,or
Oregon,or
oregon,or
O,other
42,pa
PA,pa
PENNSYLVANIA,pa
Pa.,pa
Pennsylvania,pa
pennsylvania,pa
Plains,plains
PR,pr
PUERTO RICO,pr
Puerto Rico,pr
Puerto rico,pr
puerto rico,pr
44,ri
R.I.,ri
RHODE ISLAND,ri
RI,ri
Rhode Island,ri
rhode island,ri
Rocky Mountain,rocky mountain
45,sc
S.C.,sc
SC,sc
SOUTH CAROLINA,sc
South Carolina,sc
south carolina,sc
46,sd
S.D.,sd
SD,sd
SOUTH DAKOTA,sd
South Dakota,sd
south dakota,sd
Southeast,southeast
Southwest,southwest
47,tn
TENNESSEE,tn
TN,tn
Tenn.,tn
Tennessee,tn
tennessee,tn
48,tx
TEXAS,tx
TX,tx
Tex.,tx
Texas,tx
texas,tx
Unknown,unknown
0,us
00,us
U.S.,us
UNITED STATES,us
US,us
United States,us
united states,us
49,ut
UT,ut
UTAH,ut
Utah,ut
Utah,ut
utah,ut
51,va
VA,va
VIRGINIA,va
Va.,va
Virginia,va
virginia,va
US Virgin Islands,vi
VI,vi
VIRGIN ISLANDS,vi
Virgin Islands,vi
Virgin islands,vi
virgin islands,vi
50,vt
VERMONT,vt
VT,vt
Vermont,vt
Vt.,vt
vermont,vt
53,wa
WA,wa
WASHINGTON,wa
Wash.,wa
Washington,wa
washington,wa
55,wi
WI,wi
WISCONSIN,wi
Wis.,wi
Wisconsin,wi
wisconsin,wi
World Total,world total
world total,world total
54,wv
W.Va.,wv
WEST VIRGINIA,wv
WV,wv
West Virginia,wv
west virginia,wv
56,wy
WY,wy
WYOMING,wy
Wyo.,wy
Wyoming,wy
wyoming,wy
