bea_code,bea_desc,naics_code,notes,naics_desc
1111A0,Oilseed farming,11111,,Soybean farming
1111A0,Oilseed farming,11112,,Oilseed (except soybean) farming
1111B0,Grain farming,11113,,Dry pea and bean farming
1111B0,Grain farming,11114,,Wheat farming
1111B0,Grain farming,11115,,Corn farming
1111B0,Grain farming,11116,,Rice farming
1111B0,Grain farming,11119,,Other grain farming
111200,Vegetable and melon farming,1112,,Vegetable and melon farming
111300,Fruit and tree nut farming,1113,,Fruit and tree nut farming
111400,"Greenhouse, nursery, and floriculture production",1114,,"Greenhouse, nursery, and floriculture production"
111900,Other crop farming,1119,,Other crop farming
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",11211,,"Beef cattle ranching and farming, including feedlots"
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",11213,,Dual-purpose cattle ranching and farming
112120,Dairy cattle and milk production,11212,,Dairy cattle and milk production
112A00,"Animal production, except cattle and poultry and eggs",1122,,Hog and pig farming
112A00,"Animal production, except cattle and poultry and eggs",1124,,Sheep and goat farming
112A00,"Animal production, except cattle and poultry and eggs",1125,,Aquaculture
112A00,"Animal production, except cattle and poultry and eggs",1129,,Other animal production
112300,Poultry and egg production,1123,,Poultry and egg production
113000,Forestry and logging,113,,Forestry and logging
114000,"Fishing, hunting and trapping",114,,"Fishing, hunting and trapping"
115000,Support activities for agriculture and forestry,115,,Support activities for agriculture and forestry
211000,Oil and gas extraction,211,,Oil and gas extraction
212100,Coal mining,2121,,Coal mining
2122A0,"Iron, gold, silver, and other metal ore mining",21221,,Iron ore mining
2122A0,"Iron, gold, silver, and other metal ore mining",21222,,Gold ore and silver ore mining
2122A0,"Iron, gold, silver, and other metal ore mining",21229,,Other metal ore mining
212230,"Copper, nickel, lead, and zinc mining",21223,,"Copper, nickel, lead, and zinc mining"
212310,Stone mining and quarrying,21231,,Stone mining and quarrying
2123A0,Other nonmetallic mineral mining and quarrying,21232,,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying"
2123A0,Other nonmetallic mineral mining and quarrying,21239,,Other nonmetallic mineral mining and quarrying
213111,Drilling oil and gas wells,213111,,Drilling oil and gas wells
21311A,Other support activities for mining,213112,,Support activities for oil and gas operations
21311A,Other support activities for mining,213113,,Support activities for coal mining
21311A,Other support activities for mining,213114,,Support activities for metal mining
21311A,Other support activities for mining,213115,,Support activities for nonmetallic minerals (except fuels) mining
221100,"Electric power generation, transmission, and distribution",2211,,"Electric power generation, transmission and distribution"
221200,Natural gas distribution,2212,,Natural gas distribution
221300,"Water, sewage and other systems",2213,,"Water, sewage and other systems"
233210,Health care structures,23,†,Construction
233262,Educational and vocational structures,23,†,Construction
2332A0,Office and commercial structures,23,†,Construction
233240,Power and communication structures,23,†,Construction
2332C0,Transportation structures and highways and streets,23,,Construction
233230,Manufacturing structures,23,†,Construction
2332D0,Other nonresidential structures,23,,Construction
233411,Single-family residential structures,23,†,Construction
233412,Multifamily residential structures,23,†,Construction
2334A0,Other residential structures,23,†,Construction
230301,Nonresidential maintenance and repair,23,†,Construction
230302,Residential maintenance and repair,23,†,Construction
321100,Sawmills and wood preservation,3211,,Sawmills and wood preservation
321200,"Veneer, plywood, and engineered wood product manufacturing",3212,,"Veneer, plywood, and engineered wood product manufacturing"
321910,Millwork,32191,,Millwork
3219A0,All other wood product manufacturing,32192,,Wood container and pallet manufacturing
3219A0,All other wood product manufacturing,32193,,
3219A0,All other wood product manufacturing,32194,,
3219A0,All other wood product manufacturing,32195,,
3219A0,All other wood product manufacturing,32196,,
3219A0,All other wood product manufacturing,32197,,
3219A0,All other wood product manufacturing,32198,,
3219A0,All other wood product manufacturing,32199,,All other wood product manufacturing
327100,Clay product and refractory manufacturing,3271,,Clay product and refractory manufacturing
327200,Glass and glass product manufacturing,3272,,Glass and glass product manufacturing
327310,Cement manufacturing,32731,,Cement manufacturing
327320,Ready-mix concrete manufacturing,32732,,Ready-mix concrete manufacturing
327330,"Concrete pipe, brick, and block manufacturing",32733,,"Concrete pipe, brick, and block manufacturing"
327390,Other concrete product manufacturing,32739,,Other concrete product manufacturing
327400,Lime and gypsum product manufacturing,3274,,Lime and gypsum product manufacturing
327910,Abrasive product manufacturing,32791,,Abrasive product manufacturing
327991,Cut stone and stone product manufacturing,327991,,Cut stone and stone product manufacturing
327992,Ground or treated mineral and earth manufacturing,327992,,Ground or treated mineral and earth manufacturing
327993,Mineral wool manufacturing,327993,,Mineral wool manufacturing
327999,Miscellaneous nonmetallic mineral products,327999,,All other miscellaneous nonmetallic mineral product manufacturing
331110,Iron and steel mills and ferroalloy manufacturing,3311,,Iron and steel mills and ferroalloy manufacturing
331200,Steel product manufacturing from purchased steel,3312,,Steel product manufacturing from purchased steel
331313,Alumina refining and primary aluminum production,331313,,Alumina refining and primary aluminum production
331314,Secondary smelting and alloying of aluminum,331314,‡,Secondary smelting and alloying of aluminum
33131B,Aluminum product manufacturing from purchased aluminum,331315,,"Aluminum sheet, plate, and foil manufacturing"
33131B,Aluminum product manufacturing from purchased aluminum,331318,,"Other aluminum rolling, drawing, and extruding"
331410,Nonferrous metal (except aluminum) smelting and refining,331410,,Nonferrous metal (except aluminum) smelting and refining
331420,"Copper rolling, drawing, extruding and alloying",33142,,"Copper rolling, drawing, extruding, and alloying"
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",33149,,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying"
331510,Ferrous metal foundries,33151,,Ferrous metal foundries
331520,Nonferrous metal foundries,33152,,Nonferrous metal foundries
33211A,"All other forging, stamping, and sintering",332111,,Iron and steel forging
33211A,"All other forging, stamping, and sintering",332112,,Nonferrous forging
33211A,"All other forging, stamping, and sintering",332117,,Powder metallurgy part manufacturing
332114,Custom roll forming,332114,,Custom roll forming
332119,"Metal crown, closure, and other metal stamping (except automotive)",332119,,"Metal crown, closure, and other metal stamping (except automotive)"
332200,Cutlery and handtool manufacturing,3322,,Cutlery and handtool manufacturing
332310,Plate work and fabricated structural product manufacturing,33231,,Plate work and fabricated structural product manufacturing
332320,Ornamental and architectural metal products manufacturing,33232,,Ornamental and architectural metal products manufacturing
332410,Power boiler and heat exchanger manufacturing,33241,,Power boiler and heat exchanger manufacturing
332420,Metal tank (heavy gauge) manufacturing,33242,,Metal tank (heavy gauge) manufacturing
332430,"Metal can, box, and other metal container (light gauge) manufacturing",33243,,"Metal can, box, and other metal container (light gauge) manufacturing"
332500,Hardware manufacturing,3325,,Hardware manufacturing
332600,Spring and wire product manufacturing,3326,,Spring and wire product manufacturing
332710,Machine shops,33271,,Machine shops
332720,"Turned product and screw, nut, and bolt manufacturing",33272,,"Turned product and screw, nut, and bolt manufacturing"
332800,"Coating, engraving, heat treating and allied activities",3328,,"Coating, engraving, heat treating, and allied activities"
33291A,Valve and fittings other than plumbing,332911,,Industrial valve manufacturing
33291A,Valve and fittings other than plumbing,332912,,Fluid power valve and hose fitting manufacturing
33291A,Valve and fittings other than plumbing,332919,,Other metal valve and pipe fitting manufacturing
332913,Plumbing fixture fitting and trim manufacturing,332913,,Plumbing fixture fitting and trim manufacturing
332991,Ball and roller bearing manufacturing,332991,,Ball and roller bearing manufacturing
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332992,,Small arms ammunition manufacturing
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332993,,Ammunition (except small arms) manufacturing
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332994,,"Small arms, ordnance, and ordnance accessories manufacturing"
332996,Fabricated pipe and pipe fitting manufacturing,332996,,Fabricated pipe and pipe fitting manufacturing
332999,Other fabricated metal manufacturing,332999,,All other miscellaneous fabricated metal product manufacturing
333111,Farm machinery and equipment manufacturing,333111,,Farm machinery and equipment manufacturing
333112,Lawn and garden equipment manufacturing,333112,,Lawn and garden tractor and home lawn and garden equipment manufacturing
333120,Construction machinery manufacturing,33312,,Construction machinery manufacturing
