"Table 6.5D. Full-Time Equivalent Employees by Industry"
"[Thousands]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2021"
"Line","","2013","2014","2015","2016","2017","2018","2019","2020"
"","","","","","","","","",""
"1","            Full-time equivalent employees1",125540,128130,131007,133022,135118,137598,139614,132167
"2","Domestic industries",126606,129326,132262,134426,136581,139034,141085,133161
"3","    Private industries",106686,109296,112269,114150,116189,118451,120457,113082
"4","        Agriculture, forestry, fishing, and hunting",1167,1187,1239,1219,1220,1219,1222,1197
"5","            Farms2",676,688,700,703,702,697,697,693
"6","            Forestry, fishing, and related activities",490,499,539,516,518,522,525,503
"7","        Mining",797,830,740,600,615,664,663,530
"8","            Oil and gas extraction",193,197,193,172,143,141,140,124
"9","            Mining, except oil and gas",207,203,194,177,183,189,188,173
"10","            Support activities for mining",396,430,353,251,289,334,335,232
"11","        Utilities",540,544,547,549,547,546,544,541
"12","        Construction",5754,6043,6378,6640,6892,7176,7430,7151
"13","        Manufacturing",11742,11917,12075,12039,12180,12389,12524,11840
"14","            Durable goods",7403,7537,7626,7552,7600,7795,7891,7416
"15","                Wood products",343,364,370,381,387,398,398,389
"16","                Nonmetallic mineral products",365,375,389,396,402,411,413,389
"17","                Primary metals",391,391,386,365,360,371,379,344
"18","                Fabricated metal products",1399,1427,1429,1386,1386,1432,1453,1348
"19","                Machinery",1086,1107,1100,1056,1059,1095,1105,1030
"20","                Computer and electronic products",1048,1033,1042,1033,1029,1039,1059,1047
"21","                Electrical equipment, appliances, and components",368,373,376,376,383,391,393,375
"22","                Motor vehicles, bodies and trailers, and parts",810,863,906,934,959,990,987,881
"23","                Other transportation equipment",681,677,685,674,670,692,726,694
"24","                Furniture and related products",350,359,370,380,384,384,375,351
"25","                Miscellaneous manufacturing",561,567,573,571,579,592,603,569
"26","            Nondurable goods",4339,4380,4450,4487,4580,4594,4633,4423
"27","                Food and beverage and tobacco products",1599,1626,1674,1719,1789,1812,1843,1789
"28","                Textile mills and textile product mills",224,224,226,221,222,220,212,190
"29","                Apparel and leather and allied products",167,162,160,153,145,137,131,109
"30","                Paper products",367,362,364,361,360,354,359,346
"31","                Printing and related support activities",443,440,441,438,431,419,412,367
"32","                Petroleum and coal products",110,110,109,109,112,112,112,108
"33","                Chemical products",786,791,797,798,815,820,838,832
"34","                Plastics and rubber products",644,665,680,689,705,720,725,682
"35","        Wholesale trade",5550,5633,5688,5681,5743,5707,5725,5477
"36","            Durable goods",3201,3249,3286,3283,3332,3335,3364,3237
"37","            Nondurable goods",2349,2383,2402,2398,2411,2372,2361,2240
"38","        Retail trade",13034,13253,13598,13794,13852,13809,13721,13049
