R,RPP_all_item
AL,90.296
AK,106.041
AZ,98.072
AR,89.108
CA,109.765
CO,102.695
CT,106.33
DE,98.399
DC,109.386
FL,101.291
GA,95.606
HI,110.03
ID,94.908
IL,100.488
IN,91.559
IA,89.516
KS,92.094
KY,90.211
LA,93.476
ME,96.547
MD,106.662
MA,106.209
MI,92.546
MN,96.643
MS,88.134
MO,92.466
MT,95.501
NE,90.838
NV,100.221
NH,104.205
NJ,109.23
NM,95.598
NY,109.755
NC,93.681
ND,90.005
OH,91.983
OK,91.662
OR,101.032
PA,98.982
RI,100.932
SC,93.512
SD,88.701
TN,93.544
TX,97.88
UT,98.853
VT,100.638
VA,101.362
WA,107.048
WV,89.066
WI,93.222
WY,97.468
